Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
faamin|If a sperm can give the berth to a human. Definitely sperm is powerful energy. So never waste it and burn this energy inside your body then see the difference.Science doesn't know more than 0.000% about the universe.Science is not even able to measure the strength of trust,true love,feelings and all.If science is everything then why we are not able to find our real life problem with science.We can't find our true match with the help of science.I have proved it that inner science is more powerful than outer science.
Philip Pullman|To be sure, there's a warm passion behind what you say. But if you give in to that passion, friends, you're doing what I always warned you agin: you're a placing the satisfaction of your own feelings above the work you have to do... Don't you worry that John Faa's heart is too soft to strike a blow when the time comes. And the time will come under judgement. Not under passion.
Pico Iyer|I've had a good life, full of more success and happiness than I ever expected.
Evander Holyfield|With age, you see people fail more. You see yourself fail more. How do you keep that fearlessness of a kid? You keep going. Luckily, I'm not afraid to make a fool of myself.
Cornell Woolrich, Night and Fear: A Centenary Collection of Stories by Cornell Woolrich|You haven't any right to expect your friends to be larger than yourself, larger than life. Just take them as they are, cut down to average size, and be glad you have them. To drink with, laugh with, borrow money from, lend money to, stay away from their special girls as you want them to stay away from yours, and above all, never break your word to, once it's been given.And that is all the obligation you have, all you have the right to expect.("New York Blues")
Jason Versey, A Walk with Prudence|She would have given up every Gathering from now until she went to join StarClan, if only she could have been sure that her sister was safe.
Michael Bassey Johnson, Trials Of A Damsel|Young girls are like helpless children in the hands of amorous men, whatever is said to them is true and whatever manipulation on their bodies seems like love to them, sooner or later, they come back to their senses, but the scars are not dead inasmuch as her spoiler lives.
David Levithan, Two Boys Kissing|We always underestimated our own participation in magic. That is, we thought of magic as something that existed with or without us. But that’s not true. Things are not magical because they’ve been conjured for us by some outside force. They are magical because we create them, and then deem them so. Ryan and Avery will say the first moment they spoke, the first moment they danced, was magical. But they were the ones—no one else, nothing else—who gave it the magic. We know. We were there. Ryan opened himself to it. Avery opened himself to it. And the act of opening was all they needed. That is the magic.
M.L Rapier|When you act without feeling, that's the living death.
George Foster, Amazing Peace-PI|Feelings are involuntary reactions, so God does not say, "Feel joy." He says, "Rejoice!" It's a choice.
Harry Whitewolf, Route Number 11: Argentina, Angels & Alcohol|The problem with the 11:11 Phenomenon is getting anybody interested in it that hasn't experienced it themselves. Other phenomena, such as U.F.Os or crop circles, are able to be seen. We can debate them. But seeing and being guided by 11:11 is hard to convey to those uninitiated in its ways.
Lois McMaster Bujold, The Curse of Chalion|I need words that mean more than they mean, words not just with height and width, but depth and weight and, and other dimensions that I cannot even name.
Marjane Satrapi|Experience can never be undone, or knowledge unlearned.
Yeonmi Park, In Order to Live: A North Korean Girl's Journey to Freedom|Along my journey I have seen the horrors that humans can inflict on one another, but I've also witnessed acts of tenderness and kindness and sacrifice in the worst imaginable circumstances. I know that it is possible to lose part of your humanity in order to survive. But I also know that the spark of human dignity is never completely extinguished, and that given the oxygen of freedom and the power of love, it can grow again.
Wilkie Collins, No Name|Men, being accustomed to act on reflection themselves, are a great deal too apt to believe that women act on reflection, too. Women do nothing of the sort. They act on impulse; and, in nine cases out of ten, they are heartily sorry for it afterward.
Jennifer Echols, Endless Summer|I wanted to remind you that you do not allow me to deliver boats, as I have been known to crash them.
Louise Rennison, A Midsummer Tights Dream|Boys are found everywhere- on top of, underneath, inside of, climbing on, swinging from, running around or jumping to. Mothers love them, little girls hate them, older sisters and brothers tolerated them, adults ignore them and Heaven protects them. A boy is Truth with dirt on its face, Beauty with a cut on its finger, Wisdom with bubble gum in its hair and the Hope of the future with a frog in its pocket. A boy is a magical creature- you can lock out of your workshop, but you can't lock him out of your heart. You can get him out of your study, but you can't get him out of your mind. Might as well give up- he is your captor, your jailor, your boss and your master- a freckled-faced, pint-sized, cat-chasing bundle of noise. But when you come home at night with only the shattered pieces of your hopes and dreams, he can mend them like new with two magic words- 'Hi, Dad!
