S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Donna Lynn Hope|There is the purity of love, harmonious in every way, but not meant for a lifetime, and then there is the steady love of commitment - no less real but completely different. She had both.
Lynn Good|The best of the best understand that people do business with people they like. People do business with people they trust, and people do business with those who make them feel special.
Jesse Ventura|Hypocrisy/hi pakrise/ noun1. The moment you tell someone it is not important to be right, in order to look right to everyone else.
Marisha Pessl, Night Film|Evil in general does not sleep, and therefore doesn't see why anyone else should.
Martin Luther King Jr.|We must come to see that peace is not merely a distant goal we seek, but it is a means by which we arrive at that goal. We must pursue peaceful ends through peaceful means.
Kellie Thacker|I have always kept a stack of library books next to my bed as a lifeline. If I ever woke in the middle of the night too scared to move or too sad to roll over, the books were my saviors.
Debasish Mridha M.D.|Before we can change our condition, we have to change our thoughts.
David Llewellyn, Trace Memory|The coast is an edgy place. Living on the coast presents certain stark realities and a wild, rare beauty. Continent confronts ocean. Weather intensifies. It's a place of tide and tantrum; of flirtations among fresh- and saltwaters, forests and shores; of tense negotiations with an ocean that gives much but demands more. Every year the raw rim that is this coast gets hammered and reshaped like molten bronze. This place roils with power and a sometimes terrible beauty. The coast remains youthful, daring, uncertain about tomorrow. The guessing, the risk; in a way, we're all thrill seekers here.
Goals Rider|He could see her planting violets on his grave, a solitary figure in a grey cloak. What a ghastly tragedy. A lump came to his throat. He became quite emotional thinking of his own death. He would have to write a poem about this. --from a Difference in Temperament
Moshe Dayan|If you want to make peace, you don’t talk to your friends. You talk to your enemies.
Dave Morris|Peace is not a state - it is a choice, and you have to remake it every day. It's possible to get a sort of stability, a habit of peace, but it's like an egg balanced, spinning, on its point: lose your momentum, and your equilibrium is gone, too.
Billy Marshall Stoneking|A story is a garden you carry in your pocket. The stories we tell ourselves and each other are for pleasure and refuge. Like gardens they are small places in a large world. But, Jinhua, we must never mistake the stories we tell for truth.
Christina Lauren, Dirty Rowdy Thing|As beliefs, energies, and acceptance can change, so can choices. Don’t feel that because you have made a choice, it has to last forever. If it is time to change a choice, change it!
Linus Torvalds|Jim Bakker came along. He said, Jessica Hahn, listen. You're a virgin. As God as my witness. He said, We need a girl that we can trust.
Andre Malraux|For peace is not mere absence of war, but is a virtue that springs from, a state of mind, a disposition for benevolence, confidence, justice.
Mango Wodzak, The Eden Fruitarian Guidebook|When the dust settles, you will have known that it was always about ageing well, not just about how fit and strong you were when young... Step back, have a look and never lose sight of the bigger picture!
Carl Sagan, Cosmos|The lifetime of a human being is measured by decades, the lifetime of the Sun is a hundred million times longer. Compared to a star, we are like mayflies, fleeting ephemeral creatures who live out their lives in the course of a single day.
Alan Moore, Promethea, Vol. 5|Consciousness, unprovable by scientific standards, is forever, then, the impossible phantom in the predictable biologic machine, and your every thought a genuine supernatural event. Your every thought is a ghost, dancing.
