Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Stepan Chapman, The Troika|Iron turns red when it corrodes, and copper turns green. Meat turns to maggots, and thoughts turn to speech.
Billy Graham, Billy Graham in Quotes|Our ministries are strengthened, sometimes more than we realize, by our devotional life.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Joy, anger, sadness, pleasure, love, evil, greed. Where is your heart at? This world is like a furnace you temper yourself, and your character. This is the same for everyone.
Deyth Banger, The Life Of One Kid|Some of these questions don't have finite answers, but the questions themselves are important. Don't stop asking, and don't let anybody tell you the questions aren't worth it. They are.
Deeanne Gist, A Bride Most Begrudging|Oh, they'll never believe a woman could solve such puzzles. They'll just assume I'm humoring you by editing it myself and allowing you to put your name to it."She raised her eyebrows. "But you wouldn't be."He humphed. "They'll never hear me admit it.""I will," she said, a smile curving her lips.He shrugged. "They'll believe me, not you.
Steve Maraboli, Life, the Truth, and Being Free|Look around you. Everything changes. Everything on this earth is in a continuous state of evolving, refining, improving, adapting, enhancing…changing. You were not put on this earth to remain stagnant.
Sunday Adelaja|Do not run away from the problem. The problem with denying the problem is that it also denies the solution. Face it, it'll go away.
Paul H. Blaney, Oxford Textbook of Psychopathology|The buildings, covered by red tiled roofs, undulate over the hillsides like a drift of wildflowers.
Matthew Rohrer, A Green Light|Unix is not so much a product as it is a painstakingly compiled oral history of the hacker subculture. It is our Gilgamesh epic: a living body of narrative that many people know by heart, and tell over and over again—making their own personal embellishments whenever it strikes their fancy. The bad embellishments are shouted down, the good ones picked up by others, polished, improved, and, over time, incorporated into the story. […] Thus Unix has slowly accreted around a simple kernel and acquired a kind of complexity and asymmetry about it that is organic, like the roots of a tree, or the branchings of a coronary artery. Understanding it is more like anatomy than physics.
Tashie McKay|I don't like killing, but I'm good at it. Murder isn't so bad from a distance, just shapes popping up in my scope. Close-up work though - a garrotte around a target's neck or a knife in their heart - it's not for me. Too much empathy, that's my problem. Usually. But not today. Today is different . . .
Ace Antonio Hall|No matter what happens, you can make it. Like a fist tightened as hard as possible, you can always apply more.
Rachel Cusk, Outline|Let's just say that drama became something very real to me that day, she said. It ceased to be theoretical, was no longer an internal structure in which she could hide and look out on the wold. In a sense, her work had jumped out of a bush and attacked her.I said it seemed to me that at a certain point a lot of people felt that, not about work but about life itself.
Leonard Cohen, Book of Mercy|Should I get lost, just point me in the direction of a poem.
Kate Maloy, Every Last Cuckoo|Sarah, though, was still sometimes ruled by stark pain, lost to everything else. Grief slipped away, only to attack from behind. It changed shape endlessly. It lacerated her, numbed her, stalked her, startled her, caught her by the throat. It deceived her eye with glimpses of Charles, her ear with the sound of his voice. She would turn and turn, expecting him, and find him gone. Again. Each time Sarah escaped her sorrow, forgetful amid other things, she lost him anew the instant she remembered he was gone.
Lailah Gifty Akita|For this is what the LORD, the God of Israel, says: 'The jar of flour will not be used up and the jug of oil will not run dry until the day the LORD sends rain on the land.' 1 Kings 17:14
Adela Knight|I want to mark him permanently, brand him as mine. I grab my ankles to keep from grabbing him, digging my short, blunt nails into my flesh, the pain heightening my pleasure.
