John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Abhijit Naskar, Biopsy of Religions: Neuroanalysis Towards Universal Tolerance|God is created by the brain and can also be destroyed by the brain. But this way ‘Love’ doesn’t exist either, because it also is the result of molecular interaction within the brain. Love is a result of complex and mind-blowing interactions between neurotransmitters like Oxytocin, Dopamine, Serotonin, Endorphins and the reward center of the brain. Does this mean we should downright stop loving our family or friends? Since there is no existence of actual ‘Love’, should we just deny what our heart feels for our beloved ones? Whatever the answer is, the same goes for the faith upon divine existence. Only one thing to remember – Love gives life, so should faith.
Keith Kekic, Chloe of the Night|I could hear the chaotic laughter trailing behind me. It turned the ageless trees into a menace. They loomed around me, while hiding him. The branches tore at my skin in an effort to bind me, while weeds sought to shackle my ankles, so that I could go no further. The pain they caused was minor, when I compared it to the searing inferno at my core.
Jessica Gadziala, Into The Green|Jasper felt the sadness then. A strong sensation of being pulled underwater, of being helpless to do anything but sink. Further into the despair. Until it completely surrounded you. Until every breath you took was just swallowing more pain. Until you were in so deep that there wasn't any hope of ever breaking the surface again.
Diane Kruger|A lot of legends, a lot of people, have come before me. But this is my time.
R.M. ArceJaeger|One species on the planet, and one species only, has reached the point of being able to have an impact on the evolutionary fortunes of all other species and upon the functioning of all ecosystems. We also have, in a way that is not true for any other species, a relationship to the planet as a whole and to the future. We live with all life.
George R.R. Martin, The Pear Shaped Man|It’s bad enough to love someone who don’t love you, but to have them told of it is perfectly awful. It makes me wild just to think of it. Ah, Fan, I’m getting so ill tempered and envious and wicked, I don’t know what will happen to me. - Polly
Steven L. Sheppard, Byblis And Caunus|Look past our kinship, and towards a romantic relationship!
Linda F. Radke|Write what you know best. If you can't survive a cross-examination from a lawyer on the subject, you won't survive an interview with a journalist or anchorperson." Linda Radke, President of Five Star Publications.
Nipsey Russell|Americans see democracy as a remedy for all ills-to be taken three times daily like prescription medicine. It works for them. Ergo - it should work for the world. What America naïvely forgets is that for democracy to function, most of a populace must have something personally that is worth preserving.
Tessa Dare, Romancing the Duke|Time falls on us, like rain, it falls like rain until we drown in it, and sometimes, it's like the drains overflow, and time just - pools up, it seeps, it gathers in the corners.
Elie Wiesel|The essence of America - that which really unites us - is not ethnicity, or nationality or religion - it is an idea - and what an idea it is: That you can come from humble circumstances and do great things.
Corneliu Zelea Codreanu, For My Legionaries|I grew up in an atmosphere tinged with militarism, and afterwards I spent five boring years within the sound of bugles. To this day it gives me a faint feeling of sacrilege not to stand to attention during ‘God save the King’. That is childish, of course, but I would sooner have had that kind of upbringing than be like the left-wing intellectuals who are so ‘enlightened’ that they cannot understand the most ordinary emotions.
E.F. Benson, Lucia in London|It seemed at moments, when I sat alone in the dark stateroom, that the sky had come down the meet the sea and some great secret was to be revealed.
Sri Chinmoy, The Jewels of Happiness: Inspiration and Wisdom to Guide Your Life-Journey|The things that most deserve our gratitude we just take for granted. Without air we cannot live for more than a minute or two. Everyday we are breathing in and breathing out, but do we ever feel grateful to the air? If we do not drink water, we cannot survive. Even our body is composed to a large extent of water.But do we give any value to water? Every morning when we open our eyes, we see the sun blessingfully offering us light and life-energy, which we badly need. But are we grateful to the sun?
Sinclair Lewis, Main Street|Nobody else is wearing anything even remotely like it.'Magnus cast a disparaging look around at all the fashion-challenged sailors. 'I feel sorry for them, of course, but I do not see why that observation should alter my current extremely stylish course of action.
