Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Karl Marx, Wage-Labour and Capital/Value, Price and Profit|What imperialists actually wanted was expansion of political power without the foundation of the body politic. Imperialist expansion had been touched off by a curious kind of economic crisis, the overproduction of capital and the emergence of "superfluous" money, the result of oversaving, which could no longer find productive investment within national borders. For the first time, investment of power did not pave the way for investment of money, since uncontrollable investments in distant countries threatened to transform large strata of society into gamblers, to change the whole capitalist economy from a system of production to a system of financial speculation, and to replace the profits of production with profits in commissions. The decade immediately before the imperialist era, the seventies of the last century, witnessed an unparalleled increase in swindles, financial scandals, and gambling in the stock market.
Amit Ray, Mindfulness Living in the Moment - Living in the Breath|Each moment, breath is nourishing millions and millions of cells in our body.Listen to its language, interpret its words and enter into the mystery of life.
Jennifer Marsh|I think that a kind of guilt works at a subconscious level in the minds of the Bengalis regarding the women tortured during the Liberation War. The War went on only for nine months, it was the responsibility of the people of that liberated nation that the period of torture was lengthened beyond that for these women. This is presented to the reader in my novel Talaash, by narrating the story of 30 years of that post-War abuse. Maybe because there was a subconscious guilt about it, readers didn't reject it, they've tried to assimilate it to their own emotions. Such an indication is quite clear in the testimonials of the jury board, reviews of Talaash or reader feedback that I've received on a personal level. Talaash is perhaps a successful book in that it awakened sleeping consciences. But if such a situation should arise again, there's no guarantee that they're not going to behave the same way. In fact, it's more than probable that they will. Because the fault at the root, that issue of satittyo or the honor of women—that remains unresolved. (Interview in Eclectica Magazine, 2007)
Lily Amis, Angel of Hope & Lily: Featuring Monsieur Jac Couture|I don’t compare myself to anyone else; I don’t make comments about anyone else because they do what feels right for them, and that’s okay by me.
Charlotte Brontë|Writers cannot choose their own mood: with them it is not always hide-tide, nor --thank Heaven!--always Storm.
Catherine Lowell, The Madwoman Upstairs|More than anything, I began to hate women writers. Frances Burney, Jane Austen, Elizabeth Browning, Mary Shelley, George Eliot, Virginia Woolf. Bronte, Bronte, and Bronte. I began to resent Emily, Anne, and Charlotte—my old friends—with a terrifying passion. They were not only talented; they were brave, a trait I admired more than anything but couldn't seem to possess. The world that raised these women hadn't allowed them to write, yet they had spun fiery novels in spite of all the odds. Meanwhile, I was failing with all the odds tipped in my favor. Here I was, living out Virginia Woolf's wildest feminist fantasy. I was in a room of my own. The world was no longer saying, "Write? What's the good of your writing?" but was instead saying "Write if you choose; it makes no difference to me.
Helen Salter, Does Snogging Count as Exercise?|I married my love in the springtime, / but by summer he’d locked me away. / He’d murdered me dead by the autumn, / and by winter I was naught but decay
Kailin Gow, Silver Frost|Hush,” I said. “I’m here, and I’m not letting you out of my sight anytime soon so keep holding me tight.” I looked down, a little more than afraid of plummeting hundreds of feet down.- Breena to Kian, Silver Frost
Sunday Adelaja|Mapidéré was but one man-and indeed, judging by rumors of his decrepit state near death, a weak, sickly man-but his creation, the empire, had taken on a life of its own. Killing the emperor would not have been enough. We have to kill the empire.
Jael McHenry|It preoccupies me until it's time to leave. It seems such the right expression of grief. I am sad, so in whatever small way I can, I will tear myself apart. They've taken what's on the inside and made it visible. If I thought it wouldn't be inappropriate I'd do it myself.
Ljupka Cvetanova, The New Land|Keep trying?I'd rather keep walking. I mean, whisky is whisky
Dixon, Ruby|Maddie: Now it’s just me against the world, and it’s the loneliest feeling ever.
Joy Kogawa, Obasan|In a time like this, let us trust in God even more. To trust when life is easy is no trust.
Wendy  Knight|She paused in the doorway, tipping her head to consider Brittany, who only glared. "You're right. I think most girls don't look like the tooth fairy dresses them every day.
Ron Pearce|All the times, all the very many times, I had been forced to thwart and stifle my own nature seemed to gather together then, in that hot and dismal corridor. I heard a rushing sound in my head and felt a pressure in my breast, like floodwaters rising behind a flimsy dike. Before I knew I did it, the soup bowl was rising in my hand as if elevated by some supernatural force. Then, its yellow-gray contents were running down the nurse’s pudgy face.
