Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Robyn Davidson, Tracks: A Woman's Solo Trek Across 1700 Miles of Australian Outback|Dogs (like rats) are multitalented but they are also not very smart the way humans are. A recent book, devoted to the intelligence of dogs, is 250+ pages long (Stanley Coren, The Intelligence of Dogs: A Guide to the Thoughts, Emotions, and Inner Lives of Our Canine Companions, 1994). Interestingly, despite careful qualifications by Coren regarding definitions, the ranking of breeds by intelligence literally made newspaper headlines. We are obviously fascinated by the notion that dogs - or at least certain breeds of dog - might, just might, be really, really smart. It all makes as much sense as evaluating humans on our ability to sniff for bombs or echo-locate.
Oprah Winfrey|When I didn't have friends, I had books.
Lily King, Euphoria|I felt in some ways we'd had some sort of sex, sex of the mind, sex of ideas, sex of words, hundreds and thousands of words...
Stasia Bliss, Blissful Musings: A Lyrical, Cosmic Dance of Embrace|Only the trees, only the trees. Like a key they see beyond the mystery, waiting patiently ever holding me while I hold the sky.
Albert Einstein|It would be possible to describe everything scientifically, but it would make no sense; it would be without meaning, as if you described a Beethoven symphony as a variation of wave pressure.
Stevie Ray Vaughan|Too much sanity may be madness and the maddest of all, to see life as it is and not as it should be.
Henry Spencer|Whether solid rockets are more or less likely to fail than liquid-fuel rockets is debatable. More serious, though, is that when they do fail, it's usually violent and spectacular.
C.S. Lewis, The Four Loves|Man approaches God most nearly when he is in one sense least like God. For what can be more unlike than fullness and need, sovereignty and humility, righteousness and penitence, limitless power and a cry for help?
Sunday Adelaja|I am being a minister of light and a destroyer of ignorance and I shall never keep quiet until this horrendous mountain is pulled down in my country, in the church of Christ and in my continent.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Sometimes we may seem to be resisting letting go, when really, we just can't see a way to move forward — believing things can never change for someone as unworthy as us.
Seth Shostak|I'm in awe of the universe, but I don't necessarily believe there's an intelligence or agent behind it. I do have a passion for the visual in religious rituals, though, even though they may be completely empty and bereft of substance.
William Shakespeare, Love's Labour's Lost|They have been at a great feast of languages, and stolen the scraps.
David Liss, The Coffee Trader|In general, nine-tenths of our happiness depends on our health alone.
Lily Graham, The Cornish Escape|If you're going to make the past your present, be prepared for a lifetime of dust ...
Christopher Milne, The Enchanted Places|There are a hundred ways in which a boy can injure—if not indeed kill—himself. The more adventurous he is and the greater his initiative, the more ways he will find. If you protect him from each of the first hundred, he is sure to find the hundred and first. Though most men can look back on their boyhood and tremble at the narrowness of some of their escapes, most boys do in fact survive more or less intact, and the wise father is the trusting father.
Kilroy J. Oldster, Dead Toad Scrolls|Failure generates its own majesty. Defeat becomes a panoptic stain on the soul; it creates its own all-embracing pathos. Reverses engulf us in fleshy feelings of self-pity, sorrow, and apathy. Resounding setbacks might even be subtlety attractive because it means we can give up trying. It is tempting to accept defeat, surrender to our insecurities, and admit that because of failing to accomplish one particular goal that the best part of our life was wasted. Cynically writing ourselves off as a failure, we are free to capitulate to the emptiness of our lives.
Publilius Syrus|There are no such things as applied sciences, only applications of science.
Rachael Bermingham|Parenting is a giant responsibility forever, so we need to learn how to drop the guilt and go easy on ourselves when we mess up.
Pasi Ilmari Jääskeläinen, The Rabbit Back Literature Society|Are writers the torchbearers of humanity? It’s a romantic idea, but it’s complete rubbish. We writers are the crocodiles in the river.
George Gurdjieff|I can't understand people calling themselves religious and being hateful. If a preacher is preaching hate, to fear God that's not religion, that's not helping humanity, that's organizing an army to defeat somebody.
