Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Michelle Cohen Corasanti, The Almond Tree|Courage, I realised, was not the absence of fear: it was the absence of selfishness; putting someone else's interest before one's own.
John O'Donohue|Follow your dreams, work hard, practice and persevere. Make sure you eat a variety of foods, get plenty of exercise and maintain a healthy lifestyle.
E.H. Aitken|There can be no question that parrots have more intellect than any other kind of bird, and it is this that makes them such favourite pets and brings upon them so many sorrows. ...Men will buy them ... and carry them off to all quarters of the native town, intending, I doubt not, to treat them kindly; but "the tender mercies of the wicked are cruel", and confinement in a solitary cell, the discipline with which we reform hardened criminals, is misery enough to a bird with an active mind, without the superadded horrors of ... life in a tin case, hung from a nail in the wall of a dark shop... Why does the Society for Prevention of Cruelty to Animals never look into the woes of parrots?...However happy you make her captivity, imagination will carry her at times to the green field and blue sky, and she fancies herself somewhere near the sun, heading a long file of exultant companions in swift career through the whistling air. Then she opens her mouth and rings out a wild salute to all parrots in the far world below her.
Surgeo Bell|Fellas stop being blinded by the big asses and cute faces. Some men are so concern in having a “bad bitch” where they end up broke, and miserable Becuz their busy trying to impress a bad bitch. A bad bitch will cheat on you a REAL WOMAN gone hold it down take care of her own and chase her goals an educated, strong woman, she’s not concerned about how much money you have although you should be on your shit yourself. STOP GOING FOR A WOMAN THAT ONLY JOB SHE HAS IS WAKING UP TO LOOK GOOD AND POST HER ASS ON SOCIAL MEDIA AND THEN GOING BACK TO SLEEP!
Toba Beta, My Ancestor Was an Ancient Astronaut|In wars amongst ideas, doubters are the victims.
Graham Greene, The Heart of the Matter|He couldn't tell that this was one of those occasions a man never forgets: a small cicatrice had been made on the memory, a wound that would ache whenever certain things combined - the taste of gin at mid-day, the smell of flowers under a balcony, the clang of corrugated iron, an ugly bird flopping from perch to perch.
Srividya Srinivasan|There should be a measure for happiness or sadness, like the width of your smile, the twinkle in your eyes, the depth of your laughter or the salt of your tears.
Tahereh Mafi, Ignite Me|Lift your hips for me, love.
Charles Stross, Accelerando|When compared side by side, my days can barely be distinguished from one another. The only difference is what I do after work and with whom I do it.
Eugene H. Peterson, Eat This Book: A Conversation in the Art of Spiritual Reading|In a system of full capitalism, there should be (but, historically, has not yet been) a complete separation of state and economics, in the same way and for the same reasons as the separation of state and church.
Morgan Rhodes, Rebel Spring|Some are born mad, some achieve madness, and some have madness thrust upon 'em.
Wendell Berry, Given|How to be a Poet (to remind myself)Make a place to sit down. Sit down. Be quiet. You must depend upon affection, reading, knowledge, skill—more of each than you have—inspiration work, growing older, patience, for patience joins time to eternity… Breathe with unconditional breath the unconditioned air. Shun electric wire. Communicate slowly. Live a three-dimensional life; stay away from screens. Stay away from anything that obscures the place it is in. There are no unsacred places; there are only sacred places and desecrated places. Accept what comes from silence. Make the best you can of it. Of the little words that come out of the silence, like prayers prayed back to the one who prays, make a poem that does not disturb the silence from which it came.
Cindy Busby|Teachers are not supposed to be repositories of information which they dish out. That is from an age when there were no other repositories of information, other than books or teachers, neither of which were portable. A lot of my big task is retraining these teachers.
Jennifer Donnelly, Revolution|Because in a small dark room, a broken child lies on a filthy bed and stares up at a high window. He waits for me, too.And I—I who have failed at everything and have failed everyone—I must not, I cannot, I will not fail him.
E.M. Forster, The Longest Journey|There are things that money can't buy, things like fresh youth to replace the one you've hardly been aware of, things like lost opportunities which might conceivably have led to nothing, but which on the other hand might have led to fulfillment and serenity and new lives and passionate involvement. (Along, of course, with disinheritance!) And human nature being what it is this is the version you'll unquestionably believe.
