Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
Holly Estil Cunningham, An Introduction to Philosophy|Truth, says instrumentalism, is what works out, that which does what you expect it to do. The judgment is true when you can "bank" on it and not be disappointed. If, when you predict, or when you follow the lead of your idea or plan, it brings you to the ends sought for in the beginning, your judgment is true. It does not consist in agreement of ideas, or the agreement of ideas with an outside reality; neither is it an eternal something which always is, but it is a name given to ways of thinking which get the thinker where he started. As a railroad ticket is a "true" one when it lands the passenger at the station he sought, so is an idea "true," not when it agrees with something outside, but when it gets the thinker successfully to the end of his intellectual journey. Truth, reality, ideas and judgments are not things that stand out eternally "there," whether in the skies above or in the earth beneath; but they are names used to characterize certain vital stages in a process which is ever going on, the process of creation, of evolution. In that process we may speak of reality, this being valuable for our purposes; again, we may speak of truth; later, of ideas; and still again, of judgments; but because we talk about them we should not delude ourselves into thinking we can handle them as something eternally existing as we handle a specimen under the glass. Such a conception of truth and reality, the instrumentalist believes, is in harmony with the general nature of progress. He fails to see how progress, genuine creation, can occur on any other theory on theories of finality, fixity, and authority; but he believes that the idea of creation which we have sketched here gives man a vote in the affairs of the universe, renders him a citizen of the world to aid in the creation of valuable objects in the nature of institutions and principles, encourages him to attempt things "unattempted yet in prose or rhyme," inspires him to the creation of "more stately mansions," and to the forsaking of his "low vaulted past." He believes that the days of authority are over, whether in religion, in rulership, in science, or in philosophy; and he offers this dynamic universe as a challenge to the volition and intelligence of man, a universe to be won or lost at man’s option, a universe not to fall down before and worship as the slave before his master, the subject before his king, the scientist before his principle, the philosopher before his system, but a universe to be controlled, directed, and recreated by man’s intelligence.
Raheel Farooq|Life always involves some logic in its manifestations, and logic, as a rule, excludes the versatility of life from its considerations.
Herta Müller, The Appointment|The devil has made it his business to monopolize on three elements: noise, hurry, crowds. He will not allow quietness.
Doug "Ten" Rose|It's illegal to forcefully take money from people unless you're the government. It's illegal to take someone's liberty, unless you're the government. It's illegal to kill someone, unless you're the government. Private organizations can do everything that government can do except for legally break the law.
Temitope Owosela|After all this time, he had hope, and then hope was gone, and he hates himself for giving in to hope. He, who exists only to kill the hopes of others, could not destroy the hope within himself.
Charles Williams, Descent into Hell|When you think of a concrete object, you think wordlessly, and then, if you want to describe the thing you have been visualizing you probably hunt about until you find the exact words that seem to fit it. When you think of something abstract you are more inclined to use words from the start, and unless you make a conscious effort to prevent it, the existing dialect will come rushing in and do the job for you, at the expense of blurring or even changing your meaning. Probably it is better to put off using words as long as possible and get one's meaning as clear as one can through pictures and sensations. Afterward one can choose—not simply accept—the phrases that will best cover the meaning, and then switch round and decide what impressions one's words are likely to make on another person.
David Llewellyn, Trace Memory|Nobody should know what's waiting for them. If you knew your future, why... it would take all the fun out of living.
Billy Graham, Billy Graham in Quotes|Blood is mentioned 460 times in the Bible. Fourteen times in the New Testament Jesus spoke of His own blood. Why? Because by the shedding of His blood, He accomplished the possibility of our salvation.
Mike Mignola, Hellboy, Vol. 9: The Wild Hunt|Although it wasn't raining anymore, the air was still heavy with water, and rain gutters were ringing all over Point Breeze.
Étienne Gilson|Why, when we regain consciousness, is it not an identity other than the one we had previously that is embodied in us? It is not clear what dictates the choice nor why, among the millions of human beings we might be, it is the being we were the day before that we unerringly grasp.
Frank Sheed, Theology and Sanity|It is of the very nature of partial seeing that we cannot see all the reconciliation of the parts we see, because it is only in the whole that they are one, and we do not see the whole. The word we form cannot wholly express God: only the Word He generates can do that. To be irked at this necessary darkness is as though we were irked at not being God.
Hannah Arendt, The Origins of Totalitarianism|Children, awkward, isolate, their bodies crammed to bursting with caffein and sugar and pop music and cologne and perfume and hairgel and pimple cream and growth hormone-treated hamburger meat and premature sex drives and costly, fleeting, violent sublimations. It's all part of the conspiracy . . . all of it trying to convince them that they're here to be trained for lives of adventure and glamor and heroism, when in fact they're here only to be trained for more of the same, for lives of plunking in the quarters, paying a premium for the never-ending series of shabby fantasies to come, the whole lifelong laser light show of glamorous degradation and habitual novelty and fun-loving murder and global isolation.
