Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Orrin Woodward|The pursuit of goodness leads to greatness, but the pursuit of greatness, whether by a man or a nation, leads to ruin…. [G]ood men build; great men destroy. They destroy because they try to control something other than themselves and that always leads to destruction.
Dada Bhagwan|As the Self [Pure Soul], one never dies; it is only the beliefs that die.
Peter Sloterdijk, Du mußt dein Leben ändern|The aesthetic construct, and nothing else, has taught us to expose ourselves to a non-enslaving experience of rank differences. The work of art is even allowed to 'tell' us, those who have run away from form, something, because it quite obviously does not embody the intention to confine us. 'La poesie ne s'impose plus, elle s'expose' Something that exposes itself and proves itself in this test gains unpresumed authority. In the space of aesthetic simulation, which is at once the emergency space for the success and failure of the artistic construct, the powerless superiority of the works can affect observers who otherwise take pains to ensure that they have no lord, old or new, above them.
V.E. Schwab|If you don't have the support and love and caring and connection that you get from a family, you don't have much at all.
Kamand Kojouri|We will not be measured by the world’s standards anymore. We will be measured by the plumb line of God’s Word. We will be people who live out our Christianity by walking faithfully in obedience to God. We will love mercy and justice. We will love others the way God loves us— unconditionally, relentlessly, and with grace.
Craig D. Lounsbrough|What we’re searching for will determine where we arrive, or if we arrive. And right in the middle of such risky choices, Christmas is God perfectly solving the problem by showing us what to search for and then bringing it to us.
Lena Dunham, Not That Kind of Girl: A Young Woman Tells You What She's "Learned"|I have the nagging sense that my true friends are waiting for me, beyond college, unusual women whose ambitions are as big as their past transgressions, whose hair is piled high, dramatic like topiaries at Versailles, and who never, ever say "too much information" when you mention a sex dream you had about your father.
Amit Ray, Yoga and Vipassana: An Integrated Life Style|Vipassana meditation is an ongoing creative purification process. Observation of the moment-to-moment experience cleanses the mental layers, one after another.
Stephen King|This life, which had been the tomb of his virtue and of his honour, is but a walking shadow; a poor player, that struts and frets his hour upon the stage, and then is heard no more: it is a tale told by an idiot, full of sound and fury, signifying nothing.
Leo Buscaglia, Loving Each Other|There comes a time in some relationships when no matter how sincere the attempt to reconcile the differences or how strong the wish to recreate a part of the past once shared, the struggle becomes so painful that nothing else is felt and the world and all its beauty only add to the discomfort by providing cruel contrast.
Friedrich Nietzsche|Blessed are the forgetful, for they get the better even of their blunders.
Matthew Norman, Domestic Violets|I was angry at God until I came to understand that it isn't God's fault when people mistreat me. I still have my doubts at times, but I try to remember that God has given them the same free will that He's given me.
Anne Morrow Lindbergh|Writing is a miserable, awful business. Stay with it. It is better than anything in the world
Amaka Imani Nkosazana|At any given moment, your circumstances can change. You may not be where you want to be right now. You may not even be doing what you prefer to do. But, if you change your way of thinking and realize that you have all the opportunities available to you just like each one of us. You can begin to focus on what you want to achieve and make it happen
Billi Jean, Silver's Chance|Nice. Wait--- so, does he know? Does he know he's the only person who's ever flipped your pancake?
Richard Carlson|Every day, tell at least one person something you like, admire, or appreciate about them.
Debasish Mridha|Knowledge is not the power; it is the potential power. Willing is not the action, but potential action.
Dada Bhagwan|Egoism and Money [Goddess of wealth; Lakshmi] are very much at odds [have great enmity]. There should be just enough egoism to accomplish one’s work. Beyond that, any expanded egoism and money have great enmity. Money (Lakshmi) stays away from it.
