Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Naomi Wolf, The Beauty Myth|The mass depiction of the modern woman as a "beauty" is a contradiction: Where modern women are growing, moving, and expressing their individuality, as the myth has it, "beauty" is by definition inert, timeless, and generic. That this hallucination is necessary and deliberate is evident in the way "beauty" so directly contradicts women's real situation.
Delano Johnson, Rare Images of Love|Poetry’s circular fulfillment was so persistent, when I was weak it gave me strength.
William Shakespeare|Let them enjoy their Eden while they can; though there's plenty of apples, I fear, on the tree yet, Mr Lawford.
Jerry Pinto|We began our hospital visits: one day Susan, one day me, everyday The Big Hoom. On one of these visits, she told me about the tap that opened at my birth and the lack drip filling her up, and it tore a hole in my heart. If this was what she could manage with a single sentence, what did thirsty years of marriage do to The Big Hoom?
Lailah Gifty Akita|(...)And what did I want? (...)A chance to sleep easy in my bed without fear. (...) There were old wants too, to be loved for who I was, not what I could do, to lie in a meadow with a boy's arms around me and WATCH THE WIND MOVE THE CLOUDS. (...)
Abhijit Naskar, We Are All Black: A Treatise on Racism|One way or another we are all biased, but still we have the modern cortical capacity to choose whether or not to let the harmful biases dictate our behavior.
John Maiorana (oohGiovanni)|There used to be a time when i thought of god i'd look to the power in the sky, now when i think of god i look at the power within myself.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|The intimate space of your personal life should be reserved for amazing, beautiful, radiant souls — good, wholesome and loving people.
DeWayne Owens|Over seven billion people exist and not one has your set of fingerprints. That sets you apart from anyone who has or ever will walk the face of this earth. You bring something to the table of life that no one else can, so bring it!
Daniel Keyes, Flowers for Algernon|How many great men didn't know enough, or have enough faith in the creative process and in themselves, to let go for the whole mind to work at it?
Robert H. Goddard|Just remember - when you think all is lost, the future remains.
J. J. Watt|Fragrance is a very personal gift, and I think that's why it makes a great Christmas gift. There's a very distinct signature to it, so if you give it as a gift, I like to think that it's from a person that thinks very highly of you.
Gabriel|Joseph Smith was not concerned about how divination and money digging would impact his social, political, and religious reputation. His teenage years were not formed in an environment where magic was the primary influence upon him or others...but at the same time, it was not uncommon for people to take interest in the supernatural. Other religious leaders who were at one time interested in the folklore of magic generally did not have to justify their curiosity.......[R]esearch has shown that between 1810 and 1840 there was an apparent increase in the use of both seer stones and divining rods to find buried treasure in the American northwest frontier. Searching for buried treasure was usually done with a divining rod, in a similar fashion similar to searching for subterranean water but in this case involving the use of seer stones. ... The supernatural element was important to money digging, and modern historians studying the use of seer stones in the Book of Mormon translation process often look at Joseph's money-digging days for answers or clues to understand the translation process better.The decision to make this comparison, though, is structured around a division: the idea that money digging was a nonreligious endeavor, while the translation of the Book of Mormon was decidedly religious in nature. However, these are labels imposed by the modern perspective, and they ignore that both treasure seeking and translating were likely perceived by Joseph's early converts as supernatural events. Early believers did not necessarily struggle with the fusion of Joseph the treasure seeker and Joseph the translator, even if future Church members would.
Christiane Northrup, Making Life Easy: A Simple Guide to a Divinely Inspired Life|We are all hungry for genuine connection and caring, and we will not get this unless we find our Soul's tribe. If we don't find this, we'll kill ourselves, either by finding an addiction to mask the pain or by ignoring what we need to stay healthy.
Hannah Simone|My grandmother was probably the first person who I thought was beautiful. She was incredibly stylish, she had big hair, big cars. I was probably 3 years old, but she was like a cartoon character. She'd swoop into our lives with presents and boxes, and she always smelled great and looked great.
Jack Thorne, Harry Potter and the Cursed Child - Parts One and Two|Those we love never truly leave us, Harry. There are things that death cannot touch.
