Thomas Mann|Walk tall, or baby don't walk at all.
Ezra Pound|The Garden En robe de parade. - SamainLike a skein of loose silk blown against a wallShe walks by the railing of a path in Kensington Gardens,And she is dying piece-mealof a sort of emotional anaemia.And round about there is a rabbleOf the filthy, sturdy, unkillable infants of the very poor.They shall inherit the earth.In her is the end of breeding.Her boredom is exquisite and excessive.She would like some one to speak to her,And is almost afraid that I will commit that indiscretion.
Abhijit Naskar, Human Making is Our Mission: A Treatise on Parenting|Failures make character, not success.
Niecy Nash|To me, stretching the capabilities of my imagination is a crucial aspect of writing fiction; you could think of it as a mental form of athleticism.
Gregory of Nyssa|The biblical account of Noah's Ark and the Flood is perhaps the most implausible story for fundamentalists to defend. Where, for example, while loading his ark, did Noah find penguins and polar bears in Palestine?
Paul Zweig, Eternity's Woods|Gradually, we have become each other's weather.
J. Kenner, Complete Me|Because I was there that day, and so were you.
Goldie Hawn|I've actually always wanted to write like a one-person show that was sort of a romantic comedy - a show that was kind of cynical about romance and marriage but ultimately embraced it. Because I feel like comedy is always cynical, inherently, because it's contrarian.
Friedrich Nietzsche|No matter how devastating our struggles, disappointments, and troubles are, they are only temporary. No matter what happens to you, no matter the depth of tragedy or pain you face, no matter how death stalks you and your loved ones, the Resurrection promises you a future of immeasurable good.
Don Lee, The Collective|We do not disappear without a trace. We leave a wake that never quite disappears, a gash in time that we so laboriously leave behind us.
Rae Earl, My Mad Fat Diary|Although the terminology implies scientific endorsement, false memory syndrome is not currently an accepted diagnostic label by the APA and is not included in the Diagnostic and Statistical Manual of Mental Disorders (4th ed.; American Psychiatric Association, 1994). Seventeen researchers (Carstensen et al., 1993) noted that this syndrome is a "non-psychological term originated by a private foundation whose stated purpose is to support accused parents" (p.23). Those authors urged professionals to forgo use of this pseudoscientific terminology. Terminology implies acceptance of this pseudodiagnostic label may leave readers with the mistaken impression that false memory syndrome is a bona fide clinical disorder supported by concomitant empirical evidence.(85)...... it may be easier to imagine women forming false memories given biases against women's mental and cognitive abilities (e.g., Coltrane & Adams, 1996). 86
Louise Erdrich, The Painted Drum|Life will break you. Nobody can protect you from that, and living alone won’t either, for solitude will also break you with its yearning. You have to love. You have to feel. It is the reason you are here on earth. You are here to risk your heart. You are here to be swallowed up.
Nelson M. Lubao|It is the vice of the journalist, I once wrote, to think that history can always be reduced to experience, and of the scholar to think that experience can always be reduced to history. History and experience are far more frequently out of sync, or running on parallel tracks.
Victor L. Wooten, The Music Lesson: A Spiritual Search for Growth Through Music|There is only one reason that you ever fail at anything...and that is because you eventually change your mind. That's it!...anything and everything you have ever decided to do, you have succeeded, or will succeed, at doing.
Joseph Fink|...their relationship was a point of near-constant discussion in Night Vale, all of their imperfections and faults, which made them individuals worth loving. They had built those faults into the usual messy, comfortable, patched-up, beautiful structure that any functioning long-term relationship ended up being.
Zoey Deutch|Without humor, I cannot go on and I doubt many of my readers would go on either. Humor is so important. I am here to have fun here with my work.
Charles Stanley|If I have done the public any service, it is due to my patient thought.
Robert Lanza|Science cannot tell theology how to construct a doctrine of creation, but you can't construct a doctrine of creation without taking account of the age of the universe and the evolutionary character of cosmic history.
Bangambiki Habyarimana, Pearls Of Eternity|Many writers write because they’ve been there, seen that, did it and burnt their fingers
Shannon L. Alder|If you can’t dream big, you will never see the vivid colors of probability over the darkness of possibility.
