Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Catherine Anderson, Phantom Waltz|I loved you before I even knew the name for it. Everyday I'd sit beside you, inhaling your scent, looking at your beautiful face. Every night, dreaming about you. You eclipsed everything else. It was you. Always you.
Billy Graham, Billy Graham in Quotes|The Bible warns [parents] against extremes in dealing with our adult children. It tells us to avoid trying to control [them] once they become adults. When children become independent, a major transition takes place: They are no longer under our authority.
Shel Silverstein, Where the Sidewalk Ends|I fell for her in summer, my lovely summer girl,From summer she is made, my lovely summer girl,I’d love to spend a winter with my lovely summer girl,But I’m never warm enough for my lovely summer girl,It’s summer when she smiles, I’m laughing like a child,It’s the summer of our lives; we’ll contain it for a whileShe holds the heat, the breeze of summer in the circle of her handI’d be happy with this summer if it’s all we ever had.
Mlungisi Simelane|If you don't discover your passions, purpose and power, then you will pursue the roles assigned by other people's scripts. You will lose the success and potential afforded by new opportunities if you don't know your own priorities and preferences. Your strength is in your uniqueness.If you lose yourself just to get along with others, then you have nothing original to offer this new year of progress and prosperity. Stay true to yourself. Where there is a vision, there is always a provision
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|So they're looking for a new face, with a voice to go along. I can tell you right now that ain't my style. I don't do no sing alongs, with my freedom.
Claudia Gray, Fateful|You should go." "I can't." "Because you want to stare at the monster?" Alec's green eyes blaze, but with a wholly human fire now. "Or because you pity me?" I couldn't guess which possibility he loathes more. I fold my arms. "I can't leave because the door's locked. Believe me, I would've gone hours ago if I could have." "Oh. Of course." Then he looks so abashed--so boyish, and so handsome--that I almost want to laugh.
Faraaz Kazi|A Very Short Song Once, when I was young and true, Someone left me sad- Broke my brittle heart in two; And that is very bad. Love is for unlucky folk, Love is but a curse. Once there was a heart I broke; And that, I think, is worse.
Mac Thornberry|Wealth and vegetation go together, and that exacerbates environmental injustice. The poor bear the burden of degraded environments.
Simon Sinek|You don't lead by hitting people over the head - that's assault, not leadership.
Bruce Barton|Pride adversely affects all our relationships - our relationship with God and His servants, between husband and wife, parent and child, employer and employee, teacher and student, and all mankind.
Kamand Kojouri|My hours are filled with fantasy and indifference. In day and night dreams, I think of my heaven with you. All the time in between, I carelessly spend in hell without you.
C.G. Jung|The biographies of great artists make it abundantly clear that the creative urge is often so imperious that it battens on their humanity and yokes everything to the service of the work, even at the cost of health and ordinary human happiness. The unborn work in the psyche of the artist is a force of nature that achieves its end either with tyrannical might or with the subtle cunning of nature herself, quite regardless of the personal fate of the man who is its vehicle. The creative urge lives and grows in him like a tree in the earth from which it draws its nourishment.
Penelope Keith|I read, go for walks and I love to garden. My hands are such a mess. People think I should have movie star hands, but they're just gardening ones. Always slightly grubby and with a bit of dirt under the fingernails.
Piet Hein, Grooks 1|A WORD TO THE WISELet the world pass in its time-ridden race; never get caught in its snare.Remember, the only acceptable casefor being in any particular place is having no business there.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Nature programmed the neurobiological processes of early love to appear as something beyond the primitive sexual cravings of the genitals. So, from an evolutionary standpoint, it all leads to copulation and reproduction, but from the perspective of the individual who has recently fallen head over heels in love with someone, it is mostly about a sensation of warmth and delight, and rarely of sexual nature.
