Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Robert Kennedy|When the shine is wearing off and the underlying cracks of a garlanded lifestyle become painfully apparent, reality may inexorably take its toll and gruelingly reveal the presence of a blatant and hideous gap of irrelevance and vanity. ("Could the milk man be the devil?" )
Tommy Wiseau|Real pirates were better than in movies, more daring and terrifying and cunning than any screenwriter could imagine. They operated during the Golden Age of Piracy, from 1650 to 1720.
Aaron Rodgers|If you feel rooted in your home and family, if you're active in your community, there's nothing more empowering. The best way to make a difference in the world is to start by making a difference in your own life.
Tamora Pierce (Author), Mastiff|Men may or may not be better drivers than women, but they seem to die more often trying to prove that they are.
Michael Bay|I've always loved silent movies. I recently saw 'Tilly's Punctured Romance' at the Academy, which is the first comedy made with Charlie Chaplin in 1914, and I sat there, and I couldn't believe that the entire audience of 2,000 people were laughing that hard from a movie made in 1914 - and there were no words; it was all faces.
Libbie Hawker, Daughter of Sand and Stone|In the dull, persistent beat of her heart, she hears the rhythm of hope. It is faint and thin as a thread, but it is there.
Ravi Zacharias, Jesus Among Other Gods: The Absolute Claims of the Christian Message|His life spells living. Your life or my life, apart from Him, spells death.
Katey Sagal|Don't make music for some vast, unseen audience or market or ratings share or even for something as tangible as money. Though it's crucial to make a living, that shouldn't be your inspiration. Do it for yourself.
Danielle Trussoni, Angelology|It takes four angels to oversee an apocalypse: a recorder to make the book that would be scripture in the new world; a preserver to comfort and save those selected to be the first generation; an accuser to remind them why they suffer; and a destroyer to revoke the promise of survival and redemption, and to teach them the awful truth about furious sheltering grace.
Cynthia Hand, Unearthly|You are not alone in this world; you are the vine from a tree that connects all mankind. Long before you were born, God wrote greatness next to your name.
Colin Kaepernick|The oppressed, having internalized the image of the oppressor and adopted his guidelines, are fearful of freedom.
Kate  Cooper, Band of Angels: The Forgotten World of Early Christian Women|Remember that writing things down makes them real; that it is nearly impossible to hate anyone whose story you know; and, most of all, that even in our post-postmodern era, writing has a moral purpose. With twenty-six shapes arranged in varying patterns, we can tell every story known to mankind, and make up all the new ones—indeed, we can do so in most of the world’s known tongues. If you can give language to experiences previously starved for it, you can make the world a better place.
Baba Kalyani|A cigarette is a breathing space. It makes a parenthesis. The time of a cigarette is a parenthesis, and if it is shared, you are both in that parenthesis. It's like a proscenium arch for a dialogue.
Wayne Gerard Trotman, Veterans of the Psychic Wars|Her vision came into focus and again this time the trees crackled and mocked her. You’re going to die you silly bitch, they seemed to chant. They waved their branches, howling, as the wind whistled through the trails which had suddenly grown icy cold. Kayn’s mind snapped back to reality; she had lost a lot of blood…none of this was real. Children of Ankh
Nina Guilbeau|As soon as you stop making everyone else responsible for your happiness, the happier you’ll be.
Darrell Calkins|There is something mysterious yet definitely accessible to us all under the agitated waves of difficulty that allows us to feel and flow along a more comprehensive intuitive and spiritual understanding of true meaning. And to find solace, accepting serenity and even beauty within it.
Alyscia Cunningham|...wear a hat and some old lady shoes, and you can do whatever you want.
