Paresh Shah|People don't have ideas, ideas have people.
Sam Brownback|When it comes to beauty, I feel that hanging with people you love, laughing, and doing silly things gets your spirits up. We are always prettier when we are happier.
Patience Johnson, Why Does an Orderly God Allow Disorder|Do not let sin reign in your mortal body so that you obey its evil desires.’Romans 6:12Self-control is one of the great keys to success in life. And since God’s Word has a lot to say about it, if you ask Him He will help you to cultivate it. What you struggled with when you were young will be different from the things you struggle with when you’re older, but you’ll face temptation in one form or another as long as you live. Self-control is one of the nine fruits of the Spirit listed in the Bible (see Galatians 5:22-23). It calls for bringing every aspect of your life under the mastery of the Holy Spirit. It’s a lifestyle characterised by discipline, not impulse.
Antonella Gambotto-Burke|Some readers were aware that the novels they loved amounted to a propaganda campaign, that the love stories had a particular agenda that might or might not have anything at all to do with reality. But then as now, being a canny and independent-minded consumer of popular media did not bar one from also enjoying being manipulated by it.
Marcus Luttrell, Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10|We're like America's little pit bull. They beat it, starve it, mistreat it, and once in a while they let it out to attack somebody.
Charles Dickens|There was once a king, and he had a queen; and he was the manliest of his gender, and she was the loveliest of hers. They had nineteen children, and were always having more.
Lilly Black, A Jade's Trick|He never treated her as a wife. He wooed her over and over again, with presents, flowers, new pleasures.
Rob Liano|Stop believing the false hope that "if it’s meant to be” it will happen. If that were true, everyone would be content, wealthy, fit and have great relationships. You must plan, act, persevere, make better choices, know your value and never, ever accept less than you truly deserve. It's not up to chance, it's up to you.
Celeste Ng, Everything I Never Told You|All their lives Nath had understood, better than anyone, the lexicon of their family, the things they could never truly explain to outsiders: that a book or a dress meant more than something to read or something to wear; that attention came with expectations that—like snow—drifted and settled and crushed you with their weight.
Cassandra Clare, City of Fallen Angels|You look lousy,' he said. Jace blinked. 'Seems an odd time to start an insult contest, but if you insist, I could probably think up something good.''No I mean it. You don't look good.''This is from a guy ho has all the sex appeal of a penguin. Look, I realize you may be jealous that the good Lord didn't deal you the same chiseled hand he dealt me, but that's no reason to-' 'I am not trying to insult you.' Simon snapped.
Suki Michelle, The Apocalypse Gene|And against whom is this censorship directed? By way of answer, think back to the big subcultural debates of 2011 – debates about how gritty fantasy isn’t really fantasy; how epic fantasy written from the female gaze isn’t really fantasy; how women should stop complaining about sexism in comics because clearly, they just hate comics; how trying to incorporate non-Eurocentric settings into fantasy is just political correctness gone wrong and a betrayal of the genre’s origins; how anyone who finds the portrayal of women and relationships in YA novels problematic really just wants to hate on the choices of female authors and readers; how aspiring authors and bloggers shouldn’t post negative reviews online, because it could hurt their careers; how there’s no homophobia in publishing houses, so the lack of gay YA protagonists can only be because the manuscripts that feature them are bad; how there’s nothing problematic about lots of pretty dead girls on YA covers; how there’s nothing wrong with SF getting called ‘dystopia’ when it’s marketed to teenage girls, because girls don’t read SF. Most these issues relate to fear of change in the genre, and to deeper social problems like sexism and racism; but they are also about criticism, and the freedom of readers, bloggers and authors alike to critique SFF and YA novels without a backlash that declares them heretical for doing so.It’s not enough any more to tiptoe around the issues that matter, refusing to name the works we think are problematic for fear of being ostracized. We need to get over this crushing obsession with niceness – that all fans must act nicely, that all authors must be nice to each other, that everyone must be nice about everything even when it goes against our principles – because it’s not helping us grow, or be taken seriously, or do anything other than throw a series of floral bedspreads over each new room-hogging elephant.We, all of us, need to get critical.Blog post: Criticism in SFF and YA
