Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Akshay Kumar|Professionalism in art has this difficulty: To be professional is to be dependable, to be dependable is to be predictable, and predictability is esthetically boring - an anti-virtue in a field where we hope to be astonished and startled and at some deep level refreshed.
Dietrich Bonhoeffer, God Is in the Manger: Reflections on Advent and Christmas|Christmas, my child, is love in action. Every time we love, every time we give, it's Christmas.
William Chapman|Words cut deeper than knives. A knife can be pulled out, words are embedded into our souls.
Prashant Kumar|Love is respect,recognition and honourgiven without expectation.
Catie Marron, City Squares: Eighteen Writers on the Spirit and Significance of Squares Around the World|The administration often used the analogy of planting the “seeds of democracy” in the Middle East, as if they’d sprout into democratic regimes as nature took its course. Democracy doesn’t sprout like apple trees. Scattering the seeds isn’t enough, no matter how many soldiers do it. To continue with the gardening analogy the Bush administration seemed to love (there were also many “seeds of terror” and “seeds of hope”), democracy is more like a fragile flower that requires constant attention and the right soil. Dictatorships and fascist regimes are hardy weeds that sprout on their own.
Robert J. Morgan, Then Sings My Soul Book 3: The Story of Our Songs: Drawing Strength from the Great Hymns of Our Faith|We don't want to live in the dark moods of imponderable mystery, but neither do we want to miss them altogether. they allow us to emerge from the tender sadness of the manger to sing with the angels in the skies above...
Kingsley Amis, Jake's Thing|Jake was close to tears. In that moment he saw the world in its true light, as a place where nothing had ever been any good and nothing of significance done: no art worth a second look, no philosophy of the slightest appositeness, no law but served the state, no history that gave an inkling of how it had been and what had happened. And no love, only egotism, infatuation and lust.
Mary Berry|I know how I like my food. I like it spicy, salty, sticky, crunchy, juicy, oozy - basically any dish you know and love, jacked up to a bordering-on-socially-unacceptable amount of flavor.
Steve Maraboli|Men believe women are hopeless gossips, but women know men are. The poor creatures are worse than women in some ways, because they cannot admit to themselves that they are gossiping, or doubt the discretion of the individuals in whom they confide. 'Strictly in confidence, old boy, just between you and me...'.
bell hooks|In retrospect, it is evident that highlighting abortion rather than reproductive rights as a whole reflected the class biases of the women who were at the forefront of the movement. While the issue of abortion was and remains relevant to all women, there were other reproductive issues that were just as vital which needed attention and might have served to galvanize masses. These issues ranged from basic sex education, prenatal care, preventive health care that would help females understand how their bodies worked, to forced sterilization, unnecessary cesareans and/or hysterectomies, and the medical complications left in their wake. Of all these issues individual white women with class privilege identified most intimately with the pain of unwanted pregnancy. And they highlighted the abortion issue. They were not by any means the only group in need of access to safe, legal abortions. As already stated, they were far more likely to have the means the to acquire an abortion than poor and working-class women. In those days poor women, black women included, often sought illegal abortions. The right to have an abortion was not a white-women-only issue; it was simply not the only or even most important reproductive concern for masses of American women.
Bayard Rustin|When the sword is once drawn, the passions of men observe no bounds of moderation.
George R.R. Martin, A Storm of Swords: Blood and Gold|Okay, I've only just found out the final lineup for Slytherin," said Angelina, consulting a piece of parchment. "Last year's Beaters, Derrick and Bole, have left now, but it looks as though Montague's replaced them with the usual gorillas, rather than anyone who can fly particularly well. They're two blokes called Crabbe and Goyle. I don't know much about them--""We do," said Harry and Ron together."Well they don't look bright enough to tell one end of a broom from another," said Angelina, pocketing her parchment, "but then I was always surprised Derrick and Bole managed to find their way onto the pitch without signposts.""Crabbe and Goyle are in the same mold," Harry assured her.
