Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
J.K. Rowling, Harry Potter and the Prisoner of Azkaban|An intense cold swept over them all. Harry felt his own breath catch in his chest. The cold went deeper than his skin. It was inside his chest, it was inside his very heart. . . .Harry’s eyes rolled up into his head. He couldn’t see. He was drowning in cold. There was a rushing in his ears as though of water. He was being dragged downward, the roaring growing louder . . .And then, from far away, he heard screaming, terrible, terrified, pleading screams. He wanted to help whoever it was, he tried to move his arms, but couldn’t . . . a thick white fog was swirling around him, inside him —
Mehmet Murat ildan|There are some cities in the world, they would have looked much more beautiful had they never been a city and İstanbul is such a city!
Robert Moffat|Through many tribulations, we begin to search for the truth.
Robert Burns, The Complete Poetical Works of Robert Burns|You are one of the rare people who can separate your observation from your preconception. You see what is, where most people see what they expect.
Jesse Andrews, Me and Earl and the Dying Girl|If after reading this book you come to my home and brutally murder me, I do not blame you.
Darrel Ray, Sex & God: How Religion Distorts Sexuality|The church may update its techniques and methods, but it is always in service of the institutional organism. This is one of the reasons why the pedophile priest issue is and will remain an endemic disease in the Catholic Church.
Eminem|December 27, 11:00 p.m.My Dear America,I’ve never written a love letter, so forgive me if I fail now. . . .The simple thing would be to say that I love you. But, in truth, it’s so much more than that. I want you, America. I need you.I’ve held back so much from you out of fear. I’m afraid that if I show you everything at once, it will overwhelm you, and you’ll run away. I’m afraid that somewhere in the back of your heart is a love for someone else that will never die. I’m afraid that I will make a mistake again, something so huge that you retreat into that silent world of yours. No scolding from a tutor, no lashing from my father, no isolation in my youth has ever hurt me so much as you separating yourself from me.I keep thinking that it’s there, waiting to come back and strike me. So I’ve held on to all my options, fearing that the moment I wipe them away, you will be standing there with your arms closed, happy to be my friend but unable to be my equal, my queen, my wife.And for you to be my wife is all I want in the world. I love you. I was afraid to admit it for a long time, but I know it now.I would never rejoice in the loss of your father, the sadness you’ve felt since he passed, or the emptiness I’ve experienced since you left. But I’m so grateful that you had to go. I’m not sure how long it would have taken for me to figure this out if I hadn’t had to start trying to imagine a life without you. I know now, with absolute certainty, that is nothing I want.I wish I was as true an artist as you so that I could find a way to tell you what you’ve become to me. America, my love, you are sunlight falling through trees. You are laughter that breaks through sadness. You are the breeze on a too-warm day. You are clarity in the midst of confusion.You are not the world, but you are everything that makes the world good. Without you, my life would still exist, but that’s all it would manage to do.You said that to get things right one of us would have to take a leap of faith. I think I’ve discovered the canyon that must be leaped, and I hope to find you waiting for me on the other side.I love you, America.Yours forever,Maxon
Anne Sexton|CourageIt is in the small things we see it.The child's first step,as awesome as an earthquake.The first time you rode a bike,wallowing up the sidewalk.The first spanking when your heartwent on a journey all alone.When they called you crybabyor poor or fatty or crazyand made you into an alien,you drank their acidand concealed it.Later,if you faced the death of bombs and bulletsyou did not do it with a banner,you did it with only a hat tocover your heart.You did not fondle the weakness inside youthough it was there.Your courage was a small coalthat you kept swallowing.If your buddy saved youand died himself in so doing,then his courage was not courage,it was love; love as simple as shaving soap.
Stephen Richards, Think Your way to Success: Let Your Dreams Run Free|Limitations are like mirages created by your own mind. When you realise that limitation do not exist, those around you will also feel it and allow you inside their space.
Craig Groeschel, Weird: Because Normal Isn't Working|Some live life passionately, some live just to be alive, while some are already dead and are waiting for it to be official. Live your life to the fullest so your legacy won't ever die.
