|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Joseph P. Kauffman, The Answer Is YOU: A Guide to Mental, Emotional, and Spiritual Freedom|God is the ultimate ground of Being, and this ultimate ground of Being is YOU. For one who realizes their true nature as God, as Consciousness, life becomes a joy without end.
Lailah Gifty Akita, Think Great: Be Great!|I know God cares, He knows my every need.
John Steinbeck, The Log from the Sea of Cortez|Predictions are uttered by prophets (free of charge); by clairvoyants (who usually charge a fee, and are therefore more honored in their day than prophets); and by futurologists (salaried). Prediction is the business of prophets, clairvoyants, and futurologists. It is not the business of novelists. A novelist's business is lying.
The Intellectual Origins of the European Reformation|There is a quality of lightness, easiness, and in some sense blatant unseriousness that pervades Classical Christianity's dialogue with modernity. The Christian intellect has no reason to be intimidated in the presence of later-stage modernity. Christianity has seen too many 'modern eras' to be cowed by this one.
Joseph M. Chiron, Tagged: The Apocalypse|St John from the book of The Revelation “He also forced everyone, small and great, rich and poor, free and slave, to receive a mark on his right hand or on his forehead, so that no one could buy or sell unless he had the mark.
William F. Buckley Jr., Up from Liberalism|A second marked characteristic of the Liberal in debate with the conservative is the tacit premise that debateis ridiculous....Many people shrink from arguments over facts because facts are tedious, because they require a formal familiarity with the subject under discussion, and because they can be ideologically dislocative. Many Liberals accept their opinions, ideas, and evaluations as others accept revealed truths.
Jay Woodman, Riding the Escalator and Terra Affirmative|Sky. Hope mixed with horror as I searched for Zed, quessing he would not have let his soulfinder walk into this situation alone. I finally identified him as the heavily bearded drummer in the flowery shirt and, yes, socks and sandals. I bit my tongue, repressing the absurd desire to laugh at his fashion sacrifice for our cause.
Henry David Thoreau|Liberalism, contrary to popular belief, is facing backward in considering the injustice of its ancestors. Conservatism, contrary to popular belief, is facing forward in considering the psychology of its descendants. Definitively, it seems in the modern world that neither side really knows which direction it's facing, and men of the sharpest judgment are simply turned off from picking either of the poisons.
Søren Kierkegaard|Lady Dedlock is always the same exhausted deity, surrounded by worshippers, and terribly liable to be bored to death, even while presiding at her own shrine.
Cat Cora|While weight loss is important, what's more important is the quality of food you put in your body - food is information that quickly changes your metabolism and genes.
Mortimer Adler|I know the joy of fishes in the river through my own joy, as I go walking along the same river.
Louise Penny, A Rule Against Murder|The ancient Hebrews did not write the name of God. I often wish the Christians would follow suit, as never was a word more misused in writing and speaking than the name of the Lord.
Malcolm X, The Autobiography of Malcolm X|I remember one night at Muzdalifa with nothing but the sky overhead I lay awake amid sleeping Muslim brothers and I learned that pilgrims from every land--every color, and class, and rank; high officials and the beggar alike--all snored in the same language.
Criss Jami, Killosophy|You can't be a rebel without the scars that come with it. Truth is, some days scars are just as ugly as they are beautiful.
Avina Celeste|When nothing is certain in your life, you have a blank canvas to work with. You can determine a new future for yourself with passionate actions. You can pursue anything that you put your mind to. When things seem uncertain it is the best time to take action.
C.S. Lewis, Mere Christianity|[To have Faith in Christ] means, of course, trying to do all that He says. There would be no sense in saying you trusted a person if you would not take his advice. Thus if you have really handed yourself over to Him, it must follow that you are trying to obey Him. But trying in a new way, a less worried way. Not doing these things in order to be saved, but because He has begun to save you already. Not hoping to get to Heaven as a reward for your actions, but inevitably wanting to act in a certain way because a first faint gleam of Heaven is already inside you.
