Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Jon Krakauer, Into the Wild|It is easy, when you are young, to believe that what you desire is no less than what you deserve, to assume that if you want something badly enough, it is your God-given right to have it. When I decided to go to Alaska that April, like Chris McCandless, I was a raw youth who mistook passion for insight and acted according to an obscure, gap-ridden logic. I thought climbing the Devils Thumb would fix all that was wrong with my life. In the end, of course, it changed almost nothing. But I came to appreciate that mountains make poor receptacles for dreams. And I lived to tell my tale.
Patti Smith|When my book 'Rich Dad's Prophecy' was released in 2002, most financial newspapers and magazines trashed it because I discussed a looming stock market crash.
Steven Wright|When I get real bored, I like to drive downtown and get a great parking spot, then sit in my car and count how many people ask if I'm leaving.
Matshona Dhliwayo|Time stops when you are in love, even as you age.
Fannie Flagg, Fried Green Tomatoes at the Whistle Stop Cafe|I wonder how many people don't get the one they want, but end up with the one they're supposed to be with.
Philip Appleman|Remember, faith is the harbinger of chaos.
Alastair Reynolds|Oh, how we could blossom if we didn't have to fight to the death to merely exist!
Gautama Buddha|There is nothing so disobedient as an undisciplined mind, and there is nothing so obedient as a disciplined mind.
David Brooks|You can’t build rich lives simply by reading sermons or following abstract rules. Example is the best teacher. Moral improvement occurs most reliably when the heart is warmed,
Dan Brown, Angels & Demons|The carved stone sign in front read Building C.Imaginative title, Langdon thought
Ann Head|His face searching the bus windows looked expectant, impatient, and a little anxious. It was a husband's face. Familiar, known, increasing beloved. Mary Ann, I reflected, had an awful lot to learn. And actually, I reflected, I wouldn't be in her shoes right now for all the flowers in Bermuda...having it all to learn again.
Voltaire, Candide|Let us work without reasoning,' said Martin; 'it is the only way to make life endurable.
Janet Frame, Janet Frame: An Autobiography|...there must be an inviolate place where the choices and decisions, however imperfect, are the writer's own, where the decision must be as individual and solitary as birth or death.
Matt Haig, The Humans|Go on,” he offered magnanimously. “Feel free to piss on yourselves andcower helplessly.”Gods, sometimes his generosity overwhelmed him.
Craig D. Lounsbrough|If we are to build that Zion of which the prophets have spoken and of which the Lord has given mighty promise, we must set aside our consuming selfishness. We must rise above our love for comfort and ease, and in the very process of effort and struggle, even in our extremity, we shall become better acquainted with our God." — Gordon B. Hinckley
Ronald Barthes|In the dry places, men begin to dream. Where the rivers run sand, there is something in man that begins to flow. West of the 98TH Meridian - where it sometimes rain and it sometimes doesn’t – towns, like weeds, spring up when it rains, dry up when it stops. But in a dry climate, the husk of the plant remains. The stranger might find, as if preserved in amber, something of the green life that was once lived there, and the ghosts of men who have gone on to a better place. The withered towns are empty, but not uninhabited. Faces sometimes peer out from the broken windows, or whisper from the sagging balconies, as if this place – now that is dead – had come to life. As if empty it is forever occupied. Reproduced in THE BORSCHT BELT from The Works of Love by Wright Morris by permission of the University of Nebraska Press. Copyright 1949, 1951 by Wright Morris.
Carol Vorvain, A Fool in Istanbul: Adventures of a self denying workaholic|What’s success? Having lots of money? No, this is part of the practicalities of life. It is not success. Success is having two daughters who grow into fine ladies, two boys who grow into fine gentlemen. Success is waking up next to the loved one dumbstruck at your luck of meeting them.
Mercedes McCambridge|Plenty of people detested Michael Jackson before his death wiped away the world's collective memory. Timberlake was originally dismissed as just another boy-bander. Legions have joined in a 'Hate Anne Hathaway' movement. Elvis, the Rolling Stones, Kristen Bell, even Mozart had haters.
