Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Gayle Forman, Just One Day|Don’t pretend, Bianca,” he said. “You’re smarter than that, and so am I. I finally figured out what you meant when you left. You said you were like Hester. I get it now. The first time you came to my house, when we wrote that paper, you said Hester was trying to escape. But everything caught up with Hester in the end, didn’t it? Well, something finally caught up with you, but you’re just running away again. Only, he”-Wesley pointed to my bedroom door-“is your escape this time.” He took a step toward me, forcing me to crane my neck even more to see his face. “Admit it, Duffy.”“Admit what?”“That you’re running away from me,” he said. “You realized you’re in love with me and you bailed because it scared the shit out of you.
Jacob Wren, Rich and Poor|Friendship is a strange idea, difficult to quantify and, at times, even more difficult to maintain. Clearly a friend is someone you enjoy spending time with. However, a friend is also someone you continue to support even during periods when they are considerably less pleasurable to be around. The loyalty of friendship often contains a kind of tautology or feedback loop: the longer you are friends the more loyal you become, and the more loyal you become the longer you remain friends.
Sebastian Thrun|As a college student, what really interested me was the human brain and human intelligence.
Lady Sophia Fermor, Woman Not Inferior to Man: Or, a Short and Modest Vindication of the Natural Right of the Fair-Sex to a Perfect Equality of Power, Dignity and Esteem with the Men|What a wretched circle this poor way of reasoning among the Men draws them insensibly into. Why is learning useless to us? Because we have no share in public offices. And why have we no share in public offices? Because we have no learning. They are sensible of the injustice they do us, and therefore are reduced to the mean shift of cloaking it at the expence of their own reason. But let truth speak for once: Why are they so industrious to debar us that learning we have an equal right to with themselves, but for fear of our sharing with, and outshining them in, those public offices they fill so miserably? The same sordid selfishness which urged them to engross all power and dignity to themselves, prompted them to shut up from us that knowledge which wou'd have made us their competitors.
Andrew Solomon|If you banish the dragons, you banish the heroes...
Cristiane Serruya, Trust: Betrayed|I love you. If you remember nothing else for the rest of your life, if you fall and hit your head and can’t remember my name, if you get so sick you’re unrecognizable, if you hate me, if you’re on your deathbed and can’t manage to even lift a finger — remember this. I. Love. You. Always. Forever. Eternally. Is that kind of love something you can handle, Saylor?
Shannon Lynette, Lady on a Wire|Your presence resembles a dirty martini,she only drinks it when she’s thirsty.
David Bentley Hart, The Experience of God: Being, Consciousness, Bliss|Happiness has to do with reason, and only reason earns it.
Robert  Herrick|To the Virgins, To Make much of TimeGather ye rose-buds while ye may,Old Time is still a-flying;And this same flower that smiles today,	Tomorrow will be dying.The glorious lamp of heaven, the sun,	The higher he’s a-getting,The sooner will his race be run,	And nearer he is to setting.That age is best which is the first,	When youth and blood are warmer;But being spent, the worse, and worst	Times still succeed the former.Then be not coy, but use your time,	And while you may, go marry;For having lost but once your prime,	You may for ever tarry.
Caroline Abbott, A Journey Through Emotional Abuse: From Bondage to Freedom|Discipline is the wholehearted yes to the call of God. When I know myself called, summoned, addressed, taken possession of, known, acted upon, I have heard the Master. I put myself gladly, fully, and forever at His disposal, and to whatever He says my answer is yes.
Alexandra Kinias, Black Tulips|And because she did not shove this down my throat, this dawned on me.
Gift Gugu Mona|We all want to look good, but genuine goodness is in the heart.
Dada Bhagwan|If the fruit (of your effort) is to your expectations, it is the effect (prarabdha, result) of your merit karma [punya karma], if it is not to your expectation, then it is the effect of your demerit karma [paap karma].
Debasish Mridha|Always try to live in a wonderful world where the sun is always shining, flowers are always blooming, birds are always singing, and you are always busy with a joyful life.
