Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Vonnie Davis, Bearing It All|She placed her fingertips on her forehead as if trying to gather her thoughts on how to handle this unexpected scenario. "Do not run from a bear. Make yourself a large target and yell to scare the bear away. Bears are easily frightened unless it's mating season." "Oh, wouldn't it be just my horrible luck to fall on a horny bear?
Stephenie Meyer|I would be a very sad person if I didn't have dance in my life. However I can, whatever I do, I just feel a lot of joy. Even if I am sad, if you take me to a rehearsal hall, I will automatically become happy.
Yann Martel, Life of Pi|I must say a word about fear. It is life's only true opponent. Only fear can defeat life. It is a clever, treacherous adversary, how well I know. It has no decency, respects no law or convention, shows no mercy. It goes for your weakest spot, which it finds with unerring ease. It begins in your mind, always. One moment you are feeling calm, self-possessed, happy. Then fear, disguised in the garb of mild-mannered doubt, slips into your mind like a spy.
Erik Pevernagie|We need not be afraid of expecting the unexpected, but let us wheedle each instant we enjoy and endear each happy moment we encounter; let us watch each step we take and each move we make, ever since happiness is a loving and appealing fairy, but utterly frail and vulnerable. ("Happy days are back again")
|Never waste any moment of your life thinking about the negative things that some people said about your dream. Your dream is only there for you to believe in it. So as long as you have a strong faith in your dream, no one else has to believe in it for it to become a new reality in your life.
Judith Chambers|Minimalism is a girl's best asset, blend tones, smudge hard outlines; if all else fails; Photoshop it.
Charles L. Whitfield, Healing the Child Within: Discovery and Recovery for Adult Children of Dysfunctional Families|We are going home (we are Home, already and always). Home on this earth is being all levels of our awareness or consciousness in our own unique fashion. (138)
Mackenzi Lee, This Monstrous Thing|Believe you me, I am all for you; and wish you well - for you to go to hell.
Holly Black, White Cat|The inside is packed with people. Lots of them crowding the bar, passing drinks back for people to carry to tables. A bunch of guys are pouring shots of vodka."To Zacharov!" one toasts."To open hearts and open bars!" calls another."And open legs," says Anton.
Kiana Davenport, Shark Dialogues|Everything breaks down but desire. And because we are old, doctors try to shame that out of us. Young punks! Lose one's youth, and doctors take it as axiomatic that you've lost your mind, your balls.
Roger Ebert|If you're sick and tired of the politics of cynicism and polls and principles, come and join this campaign.
Keira D. Skye|You know, Savannah, if you cry, I won’t tell anyone,’ Ken said quietly. ‘I promise.
Stephen Colbert, I Am America|The Old Testament is responsible for more atheism, agnosticism, disbelief—call it what you will—than any book ever written; it has emptied more churches than all the counterattractions of cinema, motor bicycle and golf course.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Waste no time lamenting with regard to what is lacking. In such instances, immediately turn focus toward what is to be...and remain poised to receive that which is due.
Taylor Lautner|My father is a huge horse racing fan, so I was introduced to the sport long before 'Seabiscuit.' But the role made me an even bigger fan. Horse racing is one of my favorite sports.
Charles Nodier|If you are alone, tell some stories to yourself. This is a different kind of pleasure and it has, indeed, its reward. I have tasted a little of everything, and I have truly never enjoyed anything more.
Lauren Oliver, Vanishing Girls|Sometimes day and night reverse. Sometimes up goes down and down goes up, and love turns into hate, and the things you counted on get washed out from under your feet, leaving you pedaling in the air. Sometimes people stop loving you. And that's the kind of darkness that never gets fixed, no matter how many moons rise again, filling the sky with a weak approximation of light.
