Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Floriano Martins|We live in the hope that life will be different. Just a little more substance perhaps in the intrinsic frailty of the days. Such resignation frightens me. Between gunshots I get drunk. In secret, all knowledge becomes anxiety.
Sarah Kay|ReThink your success mindset: In life, the stuff that really matters most, is invisible, but palpable.
Junot Díaz, The Brief Wondrous Life of Oscar Wao|A heart like mine, which never got any kind of affection growing up, is terrible above all things.
Alexander Payne|I'm working on bridging the gap between mainstream famous and Internet famous. They're two different things, but eventually, social media will be the way to become a celebrity.
Sunday Adelaja|We are chosen by God, it was not by coincidence. We have been accorded the dignity of kingship and we are called to take the Kingdom to the world. The destiny of millions of people depends on us.
David Hieatt, Do Purpose: Why Brands with a Purpose Do Better and Matter More|A brand is a story. And you have to tell it well. The good news in this connected world great stories travel fast. And, these days, they travel for free. So there has never been a better time or a cheaper time to start something.
August Bebel|Our Father and Our God, unto thee, O Lord we lift our souls.
Erna Paris|But seen through a long lens, peacemaking founded on 'forgetting' appears to have a limited lifespan.
Lynn C. Tolson, Beyond the Tears: A True Survivor's Story|It was so much more. You allowed your feelings to spill onto the stage in a way everyone in that room could relate to. Angela inspired it, perhaps, but the specifics you chose made a universal statement. That is the art of choreography.
John Ferling, Jefferson and Hamilton: The Rivalry That Forged a Nation|The continuous work of our life,” says Montaigne, “is to build death.” He quotes the Latin poets: Prima, quae vitam dedit, hora corpsit. And again: Nascentes morimur. Man knows and thinks this tragic ambivalence which the animal and the plant merely undergo. A new paradox is thereby introduced into his destiny. “Rational animal,” “thinking reed,” he escapes from his natural condition without, however, freeing himself from it. He is still a part of this world of which he is a consciousness. He asserts himself as a pure internality against which no external power can take hold, and he also experiences himself as a thing crushed by the dark weight of other things. At every moment he can grasp the non-temporal truth of his existence. But between the past which no longer is and the future which is not yet, this moment when he exists is nothing. This privilege, which he alone possesses, of being a sovereign and unique subject amidst a universe of objects, is what he shares with all his fellow-men. In turn an object for others, he is nothing more than an individual in the collectivity on which he depends.
Dwayne Johnson|The Great Depression, like most other periods of severe unemployment, was produced by government mismanagement rather than by any inherent instability of the private economy.
Randy Alcorn, Edge of Eternity|The conflicting missions of the two armies seemed to have no fog, no gray, only black-and-white clarity. I had lived my life in terms of compromise, rule-bending, trade-offs, concessions, bargaining, striking deals, finding middle ground. In these two great armies, there was no such thing. Good was good, and evil was evil, and they shared no common ground.
Deepak Chopra|When you make a choice, you change the future.
Mark Shriver|The primary school I attended in Shanghai was a very liberal one, established by scholars who had return from an education in France. The children of leading families were enrolled there, including the son of a well-known man believed to be a top gangster of the underworld!
William Bernbach|We especially need imagination in science. It is not all mathematics, nor all logic, but it is somewhat beauty and poetry.
Dada Bhagwan|There are three types of talks: 1. Knowledge based talks. 2. Intellect-based talks 3. Talks void of intellect. The world is running as a result of these three types of talks. Intellectuals will find intellect-void-talks as being incorrect. Those void of intellect will find intellect based talks to be incorrect. And where there are talks with Knowledge (Gnan), there is no such thing as correct or incorrect.
