Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Brandon Sanderson, Alcatraz Versus the Shattered Lens|I am a Smedry, and we do ridiculous, unexpected, eccentric things like this all the time! Ha-ha!
Auliq Ice|The more you practice the better you'll be, the harder you train the great in you they'll see.
Oprah Winfrey|Difficulties come when you don't pay attention to life's whisper. Life always whispers to you first, but if you ignore the whisper, sooner or later you'll get a scream
E.M. Forster, Howards End|…But so few of us think clearly about our own private incomes, and admit that independent thoughts are in nine cases out of ten the result of independent means.
Preeti Shenoy, It Happens for a Reason|When you are passionate about something, it shows. There is no point doing something that does not make you feel happy just to earn money. If you hate what you are doing, you are then just wasting your life.
Landon Donovan|Sports play a very important role in consolidating the national strength, adding lustre to the country's prestige and honour, inspiring people with national dignity and pride, and imbuing the whole society with revolutionary mettle.
J.K. Rowling, Harry Potter and the Half-Blood Prince|The Death Eaters can't all be pure-blood, there aren't enough pure-blood wizards left," said Hermione stubbornly. "I expect most of them are half-bloods pretending to be pure. It's only Muggle-borns they hate, they'd be quite happy to let you and Ron join up" "There is no way they'd let me be a Death Eater!" said Ron indignantly...."My whole family are blood traitors! That's as bad as Muggle-borns to Death Eaters!" "And they'd love to have me," said Harry sarcastically. "We'd be best pals if they didn't keep trying to do me in.
Lyssa Danehy deHart|Every Moment Offers Us ChoicesChoose wiselyBecause the Choices You Make, Make You
Louisa May Alcott, Little Women|To torment and tantalize oneself with hopes of possible fortune is so sweet, so thrilling!
Nicole Scherzinger|Our minds are like our stomaches; they are whetted by the change of their food, and variety supplies both with fresh appetite.
Jeffery Deaver, Roadside Crosses|She believed not in divine salvation but in the proposition that we poor mortals are fully capable of saving ourselves, if conditions and inclinations are right, and the evidence of this potential is found in the smallest of gestures, like the uncertain resting of a large hand on a bony shoulder.
Dan Wells, Fragments|Don’t hate your enemies, they don’t even deserve it.
Nita Ambani|We tell our triumphs to the crowds, but our own hearts are the sole confidants of our sorrows.
C. JoyBell C.|Life is not compassionate towards victims. The trick is not to see yourself as one. It's never too late! I know I've felt like the victim in various situations in my life, but, it's never too late for me to realize that it's my responsibility to stand on victorious ground and know that whatever it is I'm experiencing or going through, those are just the clouds rolling by while I stand here on the top of this mountain! This mountain called Victory! The clouds will come and the clouds will go, but the truth is that I'm high up here on this mountaintop that reaches into the sky! I am a victor. I didn't climb up the mountain, I was born on top of it!
Prerna Sharma|I brought you here to tell you this: sometimes what we are searching for does not exist. We may sacrifice for it, even bleed for it, but it was never meant to be ours.
Bangambiki Habyarimana, Pearls Of Eternity|Apologetics=faith is weak, lets defend it
Stephen King, The Stand|If you are prepared,” he told his players, “you will be confident, and will do the job.
Mary Douglas|I went to a girls' school, and it was awful. The combination of my teenage anger and their jealousy meant I was always getting into fights. There was a lot of pulling of hair and scratching of faces and rolling around on the floor.
Jaroslav Kalfar, Spaceman of Bohemia|We know that the world operates on a whim, a system of coincidences. There are two basic coping mechanisms. One consists of dreading the chaos, fighting it and abusing oneself after lost, building a structured life ... in which every decision is a reaction against the fear of the worst ... This is the life that cannot be won, but it does offer the comfort of battle - the human heart is content when distracted by war. The second mechanism is an across-the-board acceptance of the absurd all around us ... This is the way to survive in this world, to walk up in the morning ... and exclaim, 'How unlikely! Yet here we are,' and have a laugh, and swim in the chaos, swim without fear, swim without expectation but always with an appreciation of every whim, the beauty of screwball twists and jerk that pump blood through our emaciated veins.
