Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Susan Block, The Bonobo Way|Their faces were inches apart now, and he traced her lips with one finger, lightly, lightly, then placed his lips there as if he’d drawn them into being.
Kady Cross, The Girl in the Steel Corset|I think... sometimes when we find love we pretend it away, or ignore it, or tell ourselves we are imagining it. Because it's the most painful kind of hope there is. It can be ripped away so easily. By indifference. By death.
Bill Lee|There is no progress whatever. Everything is just the same as it was thousands, and tens of thousands, of years ago. The outward form changes. The essence does not change.
Dexter Palmer, Version Control|To say ; " I want to travel in time", just like saying;"I want to travel in dial
Jessica Khoury, The Forbidden Wish|Albert, I don’t know how long we can keep Sam involved at all,” she said.“You’re upset,” Albert replied.“Yes, I’m upset. But that’s not the point. Sam is out of control. If we’re ever going to have a working system we may have to find someone else to play the role of savior.”Albert sighed. “Astrid, we don’t know what’s out there in the night. And maybe you’re right that Sam is out of control. But me? I’m really glad it’s him out there getting ready to face whatever it is.”Albert picked up his omnipresent notebook and left.To a now empty, silent room, Astrid said, “Don’t die, Sam. Don’t die.
R. Curtis Venture|...You believe that the kind of story you want to tell might be best received by the science fiction and fantasy audience. I hope you're right, because in many ways this is the best audience in the world to write for. They're open-minded and intelligent. They want to think as well as feel, understand as well as dream. Above all, they want to be led into places that no one has ever visited before. It's a privilege to tell stories to these readers, and an honour when they applaud the tale you tell.
Stephen Richards, Be First: Achieve Every Dream|Diamonds do not burst out from the mines into your hands. The universe, instead, will direct the men to discover the mines and find the diamonds for you.
Helen Fisher|Downhill track sports like luge are technology battles, as exciting as a NASCAR qualifying day.
Latika Teotia|Don’t allow the challenges of life to break you. Remember all the good things God has done, and fill your heart with…
Nicholas Sparks|He was a wonderful man. And when a man is that special, you know it sooner than you think possible. You recognize it instinctively, and you're certain that no matter what happens, there will never be another one like him.
J.K. Rowling, Harry Potter: The Deathly Hallows|What sort of a god are you, my Lord? Your punishments seem barbaric to me. Either that or we are more god-like and you’re merely human-like.
Thomas à Kempis|Go where thou wilt, seek what thou wilt, and thou shalt not find a higher way above, nor a safer way below, than the way of the holy Cross."- Thomas A Kempis (The Following of Christ)
Mario Vargas Llosa|From the cave to the skyscraper, from the club to weapons of mass destruction, from the tautological life of the tribe to the era of globalization, the fictions of literature have multiplied human experiences, preventing us from succumbing to lethargy, self-absorption, resignation. Nothing has sown so much disquiet, so disturbed our imagination and our desires as the life of lies we add, thanks to literature, to the one we have, so we can be protagonists in the great adventures, the great passions real life will never give us. The lies of literature become truths through us, the readers transformed, infected with longings and, through the fault of fiction, permanently questioning a mediocre reality. Sorcery, when literature offers us the hope of having what we do not have, being what we are not, acceding to that impossible existence where like pagan gods we feel mortal and eternal at the same time, that introduces into our spirits non-conformity and rebellion, which are behind all the heroic deeds that have contributed to the reduction of violence in human relationships. Reducing violence, not ending it. Because ours will always be, fortunately, an unfinished story. That is why we have to continue dreaming, reading, and writing, the most effective way we have found to alleviate our mortal condition, to defeat the corrosion of time, and to transform the impossible into possibility.
