Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
Tammy Faith, Broken Heart|He dropped his head and kissed her. He kisses her and it was a kiss of utter certainty, the kind of kiss during which monarchs die and whole continents fall without your even noticing.
Herbert M. Shelton|General Motors, General Mills, General Foods, general ignorance, general apathy, and general cussedness elect presidents and Congressmen and maintain them in power.
Russll D. Moore|I don't care whose son he is. I won't go belly-up like a timid pup. If he's fool enough to take a poke at me, I'll snap the finger clean off that does the poking.
David Baldacci|Freedom is indivisible. As soon as one starts to restrict it, one enters upon a decline on which it is difficult to stop.
Edmund A. Opitz, The Libertarian Theology of Freedom|If Jesus regarded it as important the blessing that comes to one who voluntarily renders help, then the churches have been right in presenting the claims of philanthropy as on of the most important of religious obligations. For one thing, this obligation keeps us sensitive and aware toward an important aspect of our environment --- other peoples needs. Secondly, this is a rightful stewardship of ones own property, and it is the antithesis of the practice whereby one man volunteers another mans property for use in alleviating some real of imagined distress --- as in various schemes of social security.
Michelangelo Antonioni|A pedestal is as much a prison as any small, confined space.
Jan Jansen|We all know in our mind what we want, but nobody know exactly what we Get.
Carlos Wallace, The Other 99 T.Y.M.E.S: Train Your Mind to Enjoy Serenity|The Silence of the Final GoodbyeI knew you best from the silences,The time and space in between,The moment before our lips touched,The way your arms went up in the air before you laughed,The smile that we shared before we talked,The redness on your face before your tears,The sensation of your arms around me after you released the embrace.The look you gave me before you walked away,Nothing had ever been so painful,No words could say what your eyes told me,When I wake in the morning without you,It’s the first thing I hear…The silence of the final goodbye.
Ben-Hur: A Tale of the Christ|In most poetic expressions of patriotism, it is impossible to distinguish what is one of the greatest human virtues from the worst human vice, collective egotism.
Julie Kagawa, The Iron Queen|And in the stillness before dawn, on the brink of a war that could tear us apart, our auras danced and twined in the darkness, coiling around each other until they finally merged, becoming one.
Kathryn Harrison|I'm not thirsty. I'm not a pop star. I don't want to reign over all forever... I don't want to be famous! It makes me feel sick, the thought of being a famous person. It's just not me.
Danish Ahmad Afsar Ali|Relationship are easy when times are good, BUT THE TRUE TEST IS WHAT YOU DO WHEN ( ONE IS BLIND AND OTHER IS VICTIM OF SILENCE ) AND TIMES ARE TOUGH.
C.S. Lewis, The Problem of Pain|Some modern theologians have, quite rightly, protested against an excessively moralistic interpretation of Christianity. The Holiness of God is something more and other than moral perfection: His claim upon us is something more and other than the claims of moral duty. I do not deny it: But this conception, like that of corporate guilt, is very easily used as an evasion of the real issue. God may be more than moral goodness: He is not less. The road to the promised land runs past Sinai. The moral law may exist to be transcended, but there is no transcending it for those who have not first admitted its claims upon them, and then tried with all their strength to meet that claim, and fairly and squarely face the fact of their failure.
Charlaine Harris|Niall had been able to mask the odor of fairy from Eric in the restaurant, but I saw from the flare of Eric's nostrils that the intoxicating scent clung to me. Eric's eyes closed in ecstasy, and he actually licked his lips. I felt like a T-bone just out of reach of a hungry dog. "Snap out of it," I said. I wasn't in the mood.With a huge effort, Eric reigned himself in. "When you smell like that," he said, "I just wanna fuck you and bite you and rub myself all over you.
