Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Mirroring is a powerful neuro-linguistic programming technique that can be used to bond with others, build rapport, and reach mutual understanding more quickly. You may already be using it instinctively without even being aware.
Marty Rubin|When you fill a void, isn't the void still there?
Charli XCX|I think the best people are the ones who are just as nice and fun. This is really cheesy, but you only have one life - why spend most of it pretending to be cool?
Eliza Cook|My mother said to me  "If you become a soldier  you'll be a general  if you become a monk you'll end up as the pope." Instead  I became a painter and wound up as Picasso.
Victor Hugo|There is no "can't" in martial arts. It is perfectly all right for students to state that they are "still working on it", "have not mastered it yet", or "are trying as best they can" as all of those sentiments reflect willingness and perseverance. It is not all right, on the other hand, to verbally or physically portray reluctance, vacillation, or defect.
Israelmore Ayivor, Daily Drive 365|Once you say “I can’t”, you suppress the left over passion in you. But you say “I can”, you spark your inner power to make it happen. You can!
Tambré Bryant|Ah, you dumb sonovabitch, why’d you let your warrior go?
Maggie Stiefvater, Sinner|The music video will die when we all go blind, and music will never die, because even when you can't hear it, you can feel it.
Dolly Parton|Any fact facing us is not as important as our attitude toward it, for that determines our success or failure. The way you think about a fact may defeat you before you ever do anything about it. You are overcome by the fact because you think you are.
Colleen Hoover, Hopeless|I love how you aren't weird and awkward, despite the fact that you've been severely cut off from socialization to the point where you make the Amish look trendy.
Hilaire Belloc, On Anything|All that can best be expressed in words should be expressed in verse, but verse is a slow thing to create; nay, it is not really created: it is a secretion of the mind, it is a pearl that gathers round some irritant and slowly expresses the very essence of beauty and of desire that has lain long, potential and unexpressed, in the mind of the man who secretes it. God knows that this Unknown Country has been hit off in verse a hundred times...Milton does it so well in the Fourth Book of Paradise Lost that I defy any man of a sane understanding to read the whole of that book before going to bed and not to wake up next morning as though he had been on a journey.
Ramsey Campbell, Alone With the Horrors: The Great Short Fiction, 1961-1991|Wielding a hammer, however, you’re at the very heart of the experience, being flooded with wonderful sensations that simply can’t be yours if you use a firearm. Now, you might be asking yourself how I came to discover the splendors of hammer attack. I’ll tell you. You won’t want to hear it, though.
Colum McCann, Zoli|Where happiness was not a possibility, the illusion of it was always more important.
Salman Rushdie, Shalimar the Clown|When you pray for what you most want in the world, its opposite comes along with it. I was given a woman whom I truly loved and who truly loved me. The opposite side of such a love is the pain of its loss. I can only feel such pain today because until yesterday I knew that love.
Mehmet Murat ildan|For most of the people there is no today and there is no tomorrow; for them, there is only the past times! Leave your past to live your today and to live your tomorrow!
Kelly Cherry, The Exiled Heart: A Meditative Autobiography|You are arrogant," says the cat, "and you are in love. Either one of these things alone might be overcome, but together, they make for a stubborn combination.
Michael Faraday|The most important thing is the indigenous people are not vindictive by nature. We are not here to oppress anybody - but to join together and build Bolivia, with justice and equality.
Carrie Ryan|I imagine that's what it must have been like to ride the roller coaster back in the before time. One moment teetering at the top, the world laid out before you and the rush of life filling your lungs. . . and then the plummet. The lack of control. That's what I've started to learn about this world. It might give, but it always takes away.
Elie Wiesel, Night|I had many things to say, I did not have the words to say them. Painfully aware of my limitations, I watched helplessly and language became an obstacle. It became clear that it would be necessary to invent a new language... I would pause at every sentence, and start over and over again. I would conjure up other verbs, other images, other silent cries. It still was not right. But what exactly was “it”? “It” was something elusive, darkly shrouded for fear of being usurped, profaned. All the dictionary had to offer seemed meager, pale, lifeless.
