Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Talib Kweli|You know, if you're a human and living on the planet, it doesn't matter what you do; you are not immune to the challenges, the trials, the difficulty. And that fact that I happen to be a coach and a minister and a spiritual teacher doesn't mean anything. I'm still human.
Joel Fuhrman|No pills, not even aspirin, and certainly no supplements ever enter my mouth - everything I need comes from my fish and vegetarian diet, which incorporates many different kinds of fruit and vegetables every week.
Charles de Secondat|Happy Days was a wonderful, wonderful experience and I would not have traded it for the world.
Anna Quindlen, Object Lessons|The beginning and the end are never really the journey of discovery for me. It is the middle that remains a puzzle until well into the writing. That's how life is most of the time, isn't it? You know where you are and where you hope to wind up. It's the getting there that's challenging.
Chuck Palahniuk|Television has its own award. It's called the Emmy. It's a good award. I like it. I have one. But you don't see movies like 'The King's Speech' win Oscars and then go to TV and qualify for Emmys. In documentaries, some networks have been able to game the system.
Ziad K. Abdelnour|People keep asking me ...How to instantly become a better writer? It’s simple: Use "power words" and see for yourself.
Guillermo del Toro, The Night Eternal|If you happen to be one of the people who has a split zygomaticus major muscle, where the lower part of it is tethered to the overlying skin, this will create a dimple in your cheek when you smile.
Martina Cole, Close|People only know what you tell them.And it was true.People gave out their whole life stories to anyone and everyone without a second's thought.Stand at a bus stop,sit in a strange pub,get banged up,and someone would always give you their life story.It was as if they were trying to prove they existed
Saoirse Ronan|I asked all of our recruiters to give me all resumes of prospective employees with their name, gender, place of origin, and age blacked out. This simple change shocked me, because I found myself interviewing different-looking candidates - even though I was 100% convinced that I was not being biased in my resume selection process.
Peter Watts, Blindsight|Humans can be anything you want, Only when alone.
Lewis Thomas, The Lives of a Cell: Notes of a Biology Watcher|It is hard to feel affection for something as totally impersonal as the atmosphere, and yet there it is, as much a part and product of life as wine and bread. Taken all in al, the sky is a miraculous achievement. It works, and for what it is designed to accomplish it is as infallible as anything in nature. I doubt whether any of us could think of a way to improve on it, beyond maybe shifting a local cloud from here to there on occasion. The word 'chance' does not serve to account well for structures of such magnificence...We should credit it for what it is: for sheer size and perfection of function, it is far and away the grandest product of collaboration in all of nature.It breathes for us, and it does another thing for our pleasure. Each day, millions of meteorites fall against the outer limits of the membrane and are burned to nothing by the friction. Without this shelter, our surface would long since have become the pounded powder of the moon. Even though our receptors are not sensitive enough to hear it, there is comfort in knowing the sound is there overhead, like the random noise of rain on the roof at night.
Sigizmund Krzhizhanovsky, Autobiography of a Corpse|The mist enveloped her form. She was lifted into it, then instantly dropped. Swiftly, the mist retreated to the window.It was gone. The old woman lay flat on her back, eyes open and staring; her mouth open, too, unprettily.That was the over-all effect - the utter lack of anything beautiful.("The Witch")
Matshona Dhliwayo|The strength to move forward when others stop, to keep going when others turn back, is the key to unlocking your greatest potential.
green-tea-rex|If you want confidence and don’t know how to get it, a really good way is to be confident in other people. When you walk into Starbucks, think, “damn, that barista’s hair is da bomb!” Or when you go to school, think, “my teacher is rocking that skirt!” When you start seeing everyone as being beautiful, at some point you realise that you’re everyone too.
