Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|Visionaries have two principal means to immediately communicate insights beyond people’s mundane, common mindset. They can liken awareness to equivalent situations in life to which the listener can relate – using metaphor, analogy and other grammatical tools to picture points. Or they can illustrate how listeners can gain such awareness – a path to proceed on, techniques to engage, what to look for within.
Anthony Liccione|If you think the most courageous and difficult thing you can do is stubbornly stand your ground, try graciously giving in.
Robert E. Howard|Civilized men are more discourteous than savages because they know they can be impolite without having their skulls split, as a general thing.
Tracey Emin|Oh Christ, I just wanted you to fuck me. And then I became greedy, I wanted you to love me.
Richard Wright, Black Boy|I felt that it was unfair that my lack of a few pounds of flesh should deprive me of a chance at a good job but I had long ago emotionally rejected the world in which I lived and my reaction was: Well, this is the system by which people want the world to run whether it helps them or not. To me, my losing was only another manifestation of that queer, material way of American living that computed everything in terms of the concrete: weight, color, race, fur coats, radios, electric refrigerators, cars, money ... It seemed that I simply could not fit into a materialistic life.
Brad McKinniss, Beast Machine|They know how to eat, shit, drive their cars, do menial work, watch television and produce equally stupid spawns of themselves; what the hell are they doing to help mankind?
Carole Cummings|Caidi to Jacin: "Do you know why I love you?"Jacin: "No."Caidi: "Because you love so big, even when you don't want to. Because you can't help it. And because you need it back, but you don't know how to take it.
Jason Day|In various fields, such as science, technology, sports, business and the arts, immigrants enrich our culture every single day.
Roger Ebert|A lot of film people are like that– especially the ones below the line, the blue-collar guys, the grunts. They like putting their hands on the equipment and getting it to do things for them. It's not about art or ideas. It's about working at something and making it come out right.
Kohta Hirano|Man cries, his tears dry up and run out. So he becomes a devil, reduced to a monster.
Anton Chekhov, The Complete Short Novels|And you know once a man has fished, or watched the thrushes hovering in flocks over the village in the bright, cool, autumn days, he can never really be a townsman, and to the day of his death he will be drawn to the country.
Casey Robinson|All people are lonely in some ways. Some people are lonely in all ways."Now, Voyager" - Movie, 1942.
Heather Nova, The Sorrowjoy|I keep going backas if Im looking for something I have lostback to the motherland, sisterland, fatherlandback to the beacon, the breastthe smell and taste of the breeze,and the singing of the rain.
Lorna Jane Cook, Outside Wonderland|When something small loudly demands all our attention, its noise often drowns out the whisper of what's enormously important.
Jaachynma N.E. Agu, Risk It, Be Different|Dining with the King; your attire, attitude and mentality must change.
Daniel P Buckley|Cheers went up around the decks as the Dolphins oars began to move as one in and out shifting and cutting away at the sea beneath, SICANIA RISING
Virginia Woolf, To the Lighthouse|Oh, but she never wanted James to grow a day older or Cam either. These two she would have liked to keep for ever just as the way they were, demons of wickedness, angels of delight, never to see them grow up into long-legged monsters.
Frank Herbert, Dune Messiah|A thorough investigation would prove that nine crimes out of ten could be traced, directly or indirectly, to our economic and social iniquities, to our system of remorseless exploitation and robbery.
Rafael Sabatini, Scaramouche|When she asked what my father taught me, I told her I couldn't put it into words. But then I lay awake watching the snow fall outside and came up with this: how brave a thing it was for him to try to rediscover something, even if it was only himself, not a continent.
Natalie Goldberg, Writing Down the Bones: Freeing the Writer Within|...A secure future seemed mapped out for me. Too secure, too mapped out. If I carried on in medicine, I realized I'd have a pretty good idea exactly what I'd be doing ten, twenty and even thirty years from that moment. It struck me like a halibut from the North Sea that that was not the way my life should go at all. What was the point of working on through the age of sixty-five and taking a chance on a better reincarnation next time?
Sun Tzu, The Art of War|Appear weak when you are strong, and strong when you are weak.
Clare B. Dunkle, The House of Dead Maids|I had no fear of the stream's perils, and I listened with the greatest contentment to the quiet slap of water on rocks, the running whisper of the current, and the taps and creaks and croaks that rose with the mist around me. Overhead swing the glittering stars, and the bright moon shone down and lit the curling ripples of the water. At no time in my life had I been in greater danger from the elements, and yet if I learned that heaven is such as that night was, I should deem it a joy worth the dying.
