Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Seneca, Letters from a Stoic|If we were always given a choice as to every path presented us in life, a multitude of roads leading to priceless treasures would forever go untraveled.Be grateful for your adversities. From toil and triumph evolves a life worth li
Jermaine Jackson|Yes, there is a story about Agent Orange, and we knew that it harmed our troops and we knew how long it was to get the medical community to accept that, the military to accept it, the VA to accept it.
Nora Roberts, The Collector|Fictional people are people, too, otherwise why would we care what happens to them?
Stephen Richards|Knowing that the brain is predisposed to religion and spirituality, then might it be that God is a creation of the brain?
Compton Gage|Many are they that rise up against you. Many there be which say of your soul, ‘’There is no help for you.’’ But the instruments of death is prepared for your cause.
Margaret Aranda|Take the Positive, and run! Run from the negative!
Sharon Salzberg, Real Love: The Art of Mindful Connection|They will never believe that an ordinary girl could do such an extraordinary thing," Genevieve worried. "What would I tell them?""Tell them there is no such thing as an ordinary girl," said Bloom (Bloom)
Israelmore Ayivor, Shaping the dream|Dreams appear as seeds that when planted, must become a forest reserve.
Kiersten White, Paranormalcy|There are fewer answers in the world than questions, and if you ask me now why that is so, I must tell you that there is no answer to that question.
Nancy Mitford, Christmas Pudding|Oh dear... it really is rather disillusioning. When one's friends marry for money they are wretched, when they marry for love it is worse. What is the proper thing to marry for, I should like to know?
Billy Graham, Billy Graham in Quotes|The cult of self has become an addiction—feeding off the ego of self-glorification. The word cult encompasses many movements and ideas, but simply put, it describes a culture of alternative beliefs, fads, and trends, and tampers with just enough truth to knock many off balance.
Ralph Waldo Emerson|Peace is not absence of conflict, it is the ability to handle conflict by peaceful means.
J. Limbu|Just as Adam produced Woman without a woman, the Virgin produced the Second Adam without a man.
Enid Shomer, The Twelve Rooms of the Nile|If you are not working towards something, your life will end with nothing.
John Bytheway, When Times Are Tough: 5 Scriptures That Will Help You Get Through Almost Anything|If our testimonies are strong onthis point and if we feel the absolute assurance that God loves us, we will change our questons. We won't ask, 'Why did this happen?' or 'Why doesn't God care about me?' Instead, our questions will become, 'What can I learn from this experience?' or 'How does the Lord want me to handle this?
Robert Louis Stevenson, Treasure Island|Unless suffering is the direct and immediate object of life, our existence must entirely fail of its aim. It is absurd to look upon the enormous amount of pain that abounds everywhere in the world, and originates in needs and necessities inseparable from life itself, as serving no purpose at all and the result of mere chance. Each separate misfortune, as it comes, seems, no doubt, to be something exceptional; but misfortune in general is the rule.I know of no greater absurdity than that propounded by most systems of philosophy in declaring evil to be negative in its character. Evil is just what is positive; it makes its own existence felt.
Maurice Merleau-Ponty, Phenomenology of Perception|The impact of your vision, while quiet and ever present, will be astounding over time as it becomes a reality.
Kiera Cass, The Siren|Why does she even bother sleeping?” I heard Elizabeth ask quietly. “You’d think by now she’d stop trying. We don’t need it.”I paused, waiting to hear Miaka’s response. “She must have a really wonderful dream often enough to make the bad ones worth it.
