Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Haruki Murakami|How are we to spend our lives, anyway? That is the real question. We read to seek the answer, and the search itself--the task of a lifetime--becomes the answer.
Alexandra Kleeman, Intimations: Stories|Soft hearts provide poor harbor; tin hearts can better stand against time and bad weather, thin and hollow as they are. So you pray to change from flesh to metal, and the dying Author of the world hears your plea and performs his final miracle. He lays His hand on you and then He vanishes. And what mortal man can undo that? What human on this earth has the power to change a tin man back to flesh?
Munindra Misra, Goals of Life|Artha - attainment of wealth, material prosperity,Its realization on righteous and moral basis be;- 5 -
Orlando Bloom|My father was the role model I looked up to. My dad was an entertainer, too. I patterned my life after him. He wanted me to do better than he did. He never sold a record in his life, but to me, he was still a rock star.
Thiessen, Sarah|Witchcraft is the attempt to gain special knowledge or power outside God. What do we mean by "special?" We mean power or knowledge that is not found or allowed by God in the natural order.
Debasish Mridha M.D.|Life is very simple, but to make ourselves feel intelligent, we insist on making it complex.
Francesca Lia Block, Weetzie Bat|1. Find your own style and have the courage to stick to it.2. Choose your clothes for your way of life.3. Make your wardrobe as versatile as an actress. It should be able to play many roles.4. Find your happiest colours - the ones that make you feel good.5. Care for your clothes, like the good friends they are!
W. Somerset Maugham|You can live a lifetime and, at the end of it, know more about other people than you know about yourself.
Isabelle Adjani|Work hard, use your common sense and don't be afraid to trust your instincts.
Dietrich Bonhoeffer|Judgement is the forbidden objectivization of the other person which destroys single-minded love. I am not forbidden to have my own thoughts about the other person, to realize his shortcomings, but only to the extent that it offers to me an occasion for forgiveness and unconditional love, as Jesus proves to me.
Mos Def|Then finally I said, 'Okay, well, I want to know all the details. I want creative input. I want to be consulted. I want to know what they're doing and who's involved. And I want to see the space.' So they took me to see it, and then I realized it was major! All these red flags on the Rue de Rivoli with my name on them right by the Louvre!
Laura Kaye, Dare to Resist|Type A Ellie liked to know the rules, like knowing what to expect. Flying blind made her nervous. He prepared to make her all kinds of nervous.
Alexander McCall Smith, The Woman Who Walked in Sunshine|Men, she thought, were odd about their clothes: they liked to wear the same things until they became defeated and threadbare.
Felicity Brandon, Hide & Seek|God, she was one big nerve ending, that girl, and those big brown eyes got just a little wider when she was close. And those bruises. And how she begged for them.I knew she was special the night I met her, I just didn't know how special.
Jacqueline Kennedy Onassis|I have never taken sides, never leaped wholeheartedly into one scale or the other; nor do I realize disappointments, provided they are severe, until the occasion is long past. Yet I am ruled by my emotions, though I murder them at birth.
Corey Taylor, Seven Deadly Sins: Settling the Argument Between Born Bad and Damaged Good|Live your life, no matter what that life is.
Vendela Vida, Let the Northern Lights Erase Your Name|You look beautiful and tragic, just the way a heroine should on the eve of battle. Like Joan of Arc in her silver armor.
Catherine Fisher|And what would they be scared of? There's nothing to fear in a perfect world, is there?
Brené Brown, I Thought It Was Just Me: Women Reclaiming Power and Courage in a Culture of Shame|There is no disgrace in being knocked down, there is only shame in not getting back up; never quit!
Gudjon Bergmann, Empowerment Basics|Being positive all the time is such a catchy idea, and it’s easy to preach. I guess that’s why it is popular. But life reveals itself in successions of up’s and down’s and if you plan to be positive all the time you will definitely fail.
