Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
TemitOpe Ibrahim|Do you know, Sandy dear, all my ambitions are for you and Rose. You have got insight, perhaps not quite spiritual, but you're a deep one, and Rose has got instinct.' 'Perhaps not quite spiritual' said Sandy.'Yes,' said Miss Brodie, 'you're right. Rose has got a future by virtue of her instinct.'...'I ought to know because my prime has brought me instinct and insight, both.
Paul Walker|Since childhood, sports has been one of the most important influences in my life.
Virginia Adair, Ants on the Melon: a Collection of Poems|Life is a hurricane, and we board up to save what we can and bow low to the earth to crouch in that small space above the dirt where the wind will not reach. We honor anniversaries of deaths by cleaning graves and sitting next to them before fires, sharing food with those who will not eat again. We raise children and tell them other things about who they can be and what they are worth: to us, everything. We love each other fiercely, while we live and after we die. We survive; we are savages.
Edvard Munch|Movies make teenagers have quippy answers for every question. Nothing seems to faze them, and they're like, 'Oh, whatever.' You're not like that when you're a teenager. You're really earnest. Things really feel like life or death. And you kind of oscillate between emotions at one time. It's very emotionally draining being a teenager.
Bangambiki Habyarimana, The Great Pearl of Wisdom|When a protector leaves you, it looks like the end of the world. But you gradually learn to walk by your own feet
Roy Bean|I never saw a discontented tree. They grip the ground as though they liked it, and though fast rooted they travel about as far as we do.
Penelope Kahler Swan, Sunny Kincaid|Uncouth thoughts can come take possession of the sweetest mind. That happens to you, you got to keep yourself alone a long time to heal of it. Mostly so you don’t pass it on. Thoughts, you see, or things, or folks that touch, go right on rubbing on each other, long after the actual touching is done and gone. That’s the Law Of Contagion.”-- Banjo Bartell
Dave Grohl|I've always thought it was important not to attach too much superstition to the space where you're writing, because once you get into the mindset that you can only do it a certain way in a certain place, your creativity can get blocked.
Ankita Singhal|Soul MateWhen we are born, the soul we are given is split apart and half of it is given to someone else. Throughout our lives, we search for the person with the other half of our soul. Very few ever succeed.I am blessed that we have met. In a sudden moment, warm within your loving glare, my soul said, “At last! I can rest. I have found my missing half.” When this happens, it is said we have found our soul mate. We are happy and at peace. When we shared ourselves, we were engulfed in eternity, dancing in a timeless universe. I am truly blessed because that day, my heart recognized you as a part of its own.Thank you for blessing me with you. Thank you for dreaming with me - for seeing the same future as I do. For your beautiful eyes, reminding me of the truest bliss in life. I am forever grateful for you.I will spend an eternity loving you, caring for you, respecting you, showing you every day that I hold you as high as the stars. I am sorry that it’s taken me this long to find you – I shall make it up to you, my flower, as long as we live. I love you!
Dan Wells, Partials|We wrap up our violent and mysterious world in a pretense of understanding. We paper over the voids of our comprehension with science and religion, and make believe that order has been imposed. And, for the most of it, the fiction works. We skim across the surfaces, heedless of the depths below. Dragonflies flitting over a lake, miles deep, pursuing erratic paths to pointless ends. Until that moment when something from the cold unknown reaches up to take us.The biggest lies we save for ourselves. We play a game in which we are gods, in which we make choices, and the current follows in our wake. We pretend a separation from the wild. Pretend that a man’s control runs deep, that civilization is more than a veneer, that reason will be our companion in dark places.
Javier Marías|We all have to lead our own life, and we only have the one life, and the only people who can live life not according to their own desires are those who have no desires--which is the majority, actually. People can say what they like, they can speak of abnegation, sacrifice, generosity, acceptance, and resignation, but it's all false. The norm is for people to think that they desire whatever comes to them, whatever they achieve along the way or whatever is given to them--they have no preconceived desires.
