David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Kapil Dev|You know, oil prices from 2007, on the strength of a very robust global economy and a very robust emerging China, many of you will recall, ramped up to near $150 a barrel. Then we had the financial - U.S. financial collapse. Oil prices collapsed all the way down to $40 a barrel.
Sudipta   Das, The Extra-Terrestrial Delivery|Like the fragrance of lavender, Love cannot be hidden either..... Sudipta Das in The Extra-Terrestrial Delivery
John Muir, The Wild Muir: Twenty-Two of John Muir's Greatest Adventures|Over the summit, I saw the so-called Mono desert lying dreamily silent in the thick, purple light -- a desert of heavy sun-glare beheld from a desert of ice-burnished granite.
James Qualls, A Gathering of Dreams|If you doubt your sanity, is that proof?
Debasish Mridha|To create emptiness in your heart, let it go with love and fill it with infinite love.
John Lubbock, The Pleasures of Life|If we succeed in giving the love of learning, the learning itself is sure to follow.
Brandi Carlile|I got well by talking. Death could not get a word in edgewise, grew discouraged, and traveled on.
Howard Zinn, You Can't Be Neutral on a Moving Train: A Personal History of Our Times|But witnesses incur responsibilities, as anyone who has ever seen a traffic accident and had to go to court to testify, knows. In the new world of globally televised war crimes, the defence of 'not knowing,' or neutrality, will dissolve for everyone. To be a witness or bystander is not a value-free choice but, inadvertently, a moral position; and in this sense the 'guilt' of people who live with the memory of crimes committed by members of their families, or communities, has been unwittingly extended to everyone who watches appalling pictures on the news.
Thomas Harris, Red Dragon|When 1:45 came, half the class left, and Danny Hupfer whispered, "If she gives you a cream puff after we leave, I'm going to kill you" - which was not something that someone headed off to prepare for his bar mitzvah should be thinking.When 1:55 came and the other half of the class left, Meryl Lee whispered, "If she gives you one after we leave, I'm going to do Number 408 to you." I didn't remember what Number 408 was, but it was probably pretty close to what Danny Hupfer had promised.Even Mai Thi looked at me with narrowed eyes and said, "I know your home." Which sounded pretty ominous.
John Cusack|Most lyric poetry is about love, whether yearned after, fulfilled, or wistfully regretted; what isn't tends to consist of laments and cris du coeur over this, that, and the other.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|Goals are the result of bringing your dreams, ideas, and ideals into a real and examinable form by giving them permanence in written form.
Scott Snyder, Batman (2011-) #46|Qui-gon shook his head. 'No,' he said firmly. 'I'm not testing you, Obi-wan. Life tests you! Every day it brings you new chances for triumph or defeat. And if you pass the test, it doesn't make you a Jedi. It makes you human.
Peggy Noonan|I have come to the conclusion that just as the Japanese live to work, Asians live to eat.
Shannon Huffman Polson, North of Hope: A Daughter's Arctic Journey|In this waiting, there is witness.
William James, The Varieties of Religious Experience|Through prayer, religion insists, things which cannot be realized in any other manner come about: energy which but for prayer would be bound is by prayer set free and operates in some part, be it objective or subjective, of the world of facts.
Mark F. LaMoure|Find mentors to help you out. Always be on the lookout for friendly allies, willing to help and support you. Be willing to help others out too, when asked. What goes around, comes around.
Kapil Sibal|Now a slave is not 'held' by any legal contract, obligation, duty, or authority, which the laws will enforce. He is 'held' only by brute force. One person beats another until the latter will obey him, work for him, if he require it, or do nothing if he require it.
