Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Frank Herbert, Dune Messiah|When people are free to choose, they choose freedom
Brandon Sanderson, The Final Empire|Breeze strolled over to the table and chose a seat with his characteristic decorum. The portly man raised his dueling cane, pointing it at Ham. 'I see that my period of intellectual respite has come to an end.'Ham smiled. 'I thought up a couple beastly questions while I was gone, and I've been saving them just for you, Breeze.''I'm dying of anticipation,' Breeze said. He turned his cane toward Lestibournes. 'Spook, drink.'Spook rushed over and fetched Breeze a cup of wine.'He's such a fine lad,' Breeze noted, accepting the drink. 'I barely even have to nudge him Allomantically. If only the rest of you ruffians were so accommodating.'Spook frowned. 'Niceing the not on the playing without.''I have no idea what you just said, child,' Breeze said. 'So I'm simply going to pretend it was coherent, then move on.'Kelsier rolled his eyes. 'Losing the stress on the nip,' he said. 'Notting without the needing of care.''Riding the rile of the rids to the right,' Spook said with a nod.'What are you two babbling about?' Breeze said testily.'Wasing the was of brightness,' Spook said. 'Nip the having of wishing of this.''Ever wasing the doing of this,' Kelsier agreed.'Ever wasing the wish of having the have,' Ham added with a smile. 'Brighting the wish of wasing the not.'Breeze turned to Dockson with exasperation. 'I believe our companions have finally lost their minds, dear friend.'Dockson shrugged. Then, with a perfectly straight face, he said, 'Wasing not of wasing is.
Ashim Shanker, Only the Deplorable|His hatred for all was so intense that it should extinguish the very love from which it was conceived. And thus, he ceased to feel. There was nothing further in which to believe that made the prospect of feeling worthwhile. Daily he woke up and cast downtrodden eyes upon the sea and he would say to himself with a hint of regret at his hitherto lack of indifference, 'All a dim illusion, was it? Surely it was foolish of me to think any of this had meaning.' He would then spend hours staring at the sky, wondering how best to pass the time if everything—even the sky itself— were for naught. He arrived at the conclusion that there was no best way to pass the time. The only way to deal with the illusion of time was to endure it, knowing full well, all the while, that one was truly enduring nothing at all. Unfortunately for him, this nihilistic resolution to dispassion didn’t suit him very well and he soon became extremely bored. Faced now with the choice between further boredom and further suffering, he impatiently chose the latter, sailing another few weeks along the coast , and then inland, before finally dropping anchor off the shores of the fishing village of Yami.
Shannon L. Alder|The number of chances you give someone doesn't tell the world how loving you are without telling them how desperate you are to believe they care as much as you. True love resides in the first chance, stupidity in the second, opportunists in the third and scoundrels in the fourth.
Tom Brokaw|In 1998, Vanity Fair asked me to write a big piece for them on the 50th anniversary of the New York City Ballet. My life, to a great extent, had been spent at and with the New York City Ballet, and I decided to try it. It was very scary, writing about something I loved so much and had such strong opinions about.
Anna   Stevens, Turn Your Dreams And Wants Into Achievable SMART Goals!|You have to set the time frame for accomplishing your goal. If you don’t, it may take forever to reach your destination and you may get tired and change your focus. Consequently, to help you obtain and keep the sense of urgency that will help you stay focused, you have to set a deadline by which the goal has to be achieved.
Toba Beta, My Ancestor Was an Ancient Astronaut|If I tell you not to follow me, it ain't because I hate you, kiddo.I just don't want you feel dissapointed...when seeing the truth.
William Brodrick, The Day of the Lie|Sometimes, Anselm – and especially with the most important parts of our lives – we cannot share who we are. We can give the facts, as information, to a stranger; but with a friend we want to give that little bit more, something that changes the facts into flesh and spirit . . . and at certain times we can’t do it. Because ultimately we can’t give away our depths: they lie beyond our grasp. It is when we most want to do so that we realize how immense we are . . . more vast and mysterious than the night sky; and alone.
Cier Galla|God is an author, and we are His best story.
Johann Wolfgang von Goethe|The world is so empty if one thinks only of mountains, rivers & cities; but to know someone who thinks & feels with us, & who, though distant, is close to us in spirit, this makes the earth for us an inhabited garden.
